"X1","X2","X3","X4","X5","X6"
"LCK","chr1-32200179-32201787_chr1-32649852-32651753","-8.01813410887086","0.0196601720852305","0.767139880800233","0.76"
"LCK","chr1-32200179-32201787_chr1-32753526-32754711","-7.93896886559638","-0.0323642262833245","0.522174745620241","0.68"
"LCK","chr1-32239897-32241659_chr1-32334992-32336553","-7.98246810459898","-0.0317070104125915","0.545309214032283","0.62"
"LCK","chr1-32239897-32241659_chr1-32350751-32352122","-7.97277185266128","-0.0677842561018233","0.190932319694872","0.24"
"LCK","chr1-32239897-32241659_chr1-32649852-32651753","-7.9852877676491","-0.0117445353270517","0.851835302543421","0.72"
"LCK","chr1-32239897-32241659_chr1-32753526-32754711","-7.96316962448052","-0.0504753769986629","0.34305697816568","0.38"
"LCK","chr1-32334992-32336553_chr1-32350751-32352122","-7.98774787057461","-0.00992856008826903","0.865651746315139","0.82"
"LCK","chr1-32334992-32336553_chr1-32649852-32651753","-8.08570981463476","0.0408242160824352","0.592404888959825","0.62"
"LCK","chr1-32334992-32336553_chr1-32753526-32754711","-7.9666703671619","-0.0110848336154373","0.828537940691351","0.92"
"LCK","chr1-32350751-32352122_chr1-32649852-32651753","-8.04202234608174","0.00184360859365538","0.979483349769186","0.98"
"LCK","chr1-32350751-32352122_chr1-32753526-32754711","-7.93735338474285","5.60728229266167e-05","0.999114694684624","0.96"
"LCK","chr1-32649852-32651753_chr1-32753526-32754711","-7.94285489218693","0.0140287753710983","0.817297862474054","0.8"
"SMAP2","chr1-40152861-40153902_chr1-40257250-40258543","-8.07222382127487","-0.0180459620699782","0.732685389492504","0.72"
"PLK3","chr1-44720970-44722284_chr1-44799651-44801041","-10.6095659516904","0.0886158879396965","0.610843492486179","0.78"
"PLK3","chr1-44720970-44722284_chr1-44813385-44814046","-10.5273567995418","-0.108234509848883","0.470123129508787","0.5"
"PLK3","chr1-44720970-44722284_chr1-44818973-44820681","-10.6360818729366","0.122830276664572","0.41270234315773","0.46"
"PLK3","chr1-44799651-44801041_chr1-44813385-44814046","-10.5325710414524","-0.0204441424470525","0.904993978509308","0.98"
"PLK3","chr1-44799651-44801041_chr1-44818973-44820681","-10.564696317766","0.270646242712091","0.174909748710228","0.34"
"PLK3","chr1-44813385-44814046_chr1-44818973-44820681","-10.6988139345","0.438585709553702","0.00292637431697615","0.0068"
"TUT4","chr1-52632658-52633745_chr1-52920730-52921950","-8.17083414743778","0.0318622554231137","0.548402661401585","0.64"
"JUN","chr1-58545580-58547044_chr1-58779703-58780219","-8.29326789505405","0.0713508970900512","0.11279846154372","0.3"
"JUN","chr1-58545580-58547044_chr1-58782237-58782723","-8.12023102043281","-0.00508007213225587","0.911536738348638","1"
"JUN","chr1-58545580-58547044_chr1-58783212-58785307","-8.08131982697583","-0.12605752410551","0.110826005863217","0.42"
"JUN","chr1-58545580-58547044_chr1-58815003-58816666","-8.18226938087759","0.0313190667208682","0.498275149273621","0.76"
"JUN","chr1-58545580-58547044_chr1-58903204-58904272","-8.0974415599404","-0.0170487820552071","0.709229816686239","0.72"
"JUN","chr1-58779703-58780219_chr1-58782237-58782723","-8.27049664928399","0.298841357261761","4.26033859819351e-11","4e-04"
"JUN","chr1-58779703-58780219_chr1-58783212-58785307","-8.40008580930106","0.0896909842006838","0.18321559616293","0.42"
"JUN","chr1-58779703-58780219_chr1-58815003-58816666","-8.29828792246525","0.295288327250585","3.50833531094184e-11","4e-04"
"JUN","chr1-58779703-58780219_chr1-58903204-58904272","-8.23258751904986","0.271495661539953","3.90740710872297e-09","4e-04"
"JUN","chr1-58782237-58782723_chr1-58783212-58785307","-8.17503418683267","0.0990370609784911","0.142356070420822","0.36"
"JUN","chr1-58782237-58782723_chr1-58815003-58816666","-8.17853869951528","0.109917693900125","0.0120948372886064","0.16"
"JUN","chr1-58782237-58782723_chr1-58903204-58904272","-8.12041217897754","0.128835947596492","0.00332979900330049","0.068"
"JUN","chr1-58783212-58785307_chr1-58815003-58816666","-8.28739974769349","0.166489648510028","0.0171165939280849","0.12"
"JUN","chr1-58783212-58785307_chr1-58903204-58904272","-8.20989580692241","0.154716996342505","0.0271987885935722","0.22"
"JUN","chr1-58815003-58816666_chr1-58903204-58904272","-8.19057677245916","0.106352570764569","0.0166025643544777","0.18"
"PDE4B","chr1-66331992-66332455_chr1-66374030-66375142","-9.36542528773792","0.264886050922182","0.0536128435330072","0.14"
"GBP1","chr1-89064169-89065719_chr1-89272246-89273541","-9.62845606348992","0.0261522222450856","0.815326148094795","0.78"
"GBP1","chr1-89064169-89065719_chr1-89309979-89311237","-9.60338981843033","-0.0258916604427028","0.841120924748965","0.8"
"GBP1","chr1-89272246-89273541_chr1-89309979-89311237","-9.56615034832775","0.124976886081126","0.28503718145187","0.3"
