gene,enhancer_1,enhancer_2
RPS27,chr1-153678402-153679988,chr1-154342513-154343557
RPS27,chr1-153782979-153784163,chr1-153921782-153923783
RPS27,chr1-153782979-153784163,chr1-153963169-153963947
RPS27,chr1-153782979-153784163,chr1-154157449-154158661
RPS27,chr1-153782979-153784163,chr1-154324586-154326454
RPS27,chr1-153782979-153784163,chr1-154328210-154328942
RPS27,chr1-153782979-153784163,chr1-154334798-154335395
RPS27,chr1-153782979-153784163,chr1-154342513-154343557
RPS27,chr1-153921782-153923783,chr1-153963169-153963947
RPS27,chr1-153921782-153923783,chr1-154157449-154158661
RPS27,chr1-153921782-153923783,chr1-154324586-154326454
RPS27,chr1-153921782-153923783,chr1-154328210-154328942
RPS27,chr1-153921782-153923783,chr1-154334798-154335395
RPS27,chr1-153921782-153923783,chr1-154342513-154343557
RPS27,chr1-153963169-153963947,chr1-154157449-154158661
RPS27,chr1-153963169-153963947,chr1-154324586-154326454
RPS27,chr1-153963169-153963947,chr1-154328210-154328942
RPS27,chr1-153963169-153963947,chr1-154334798-154335395
RPS27,chr1-153963169-153963947,chr1-154342513-154343557
RPS27,chr1-154157449-154158661,chr1-154324586-154326454
RPS27,chr1-154157449-154158661,chr1-154328210-154328942
RPS27,chr1-154157449-154158661,chr1-154334798-154335395
RPS27,chr1-154157449-154158661,chr1-154342513-154343557
RPS27,chr1-154324586-154326454,chr1-154328210-154328942
RPS27,chr1-154324586-154326454,chr1-154334798-154335395
RPS27,chr1-154324586-154326454,chr1-154342513-154343557
RPS27,chr1-154328210-154328942,chr1-154334798-154335395
RPS27,chr1-154328210-154328942,chr1-154342513-154343557
RPS27,chr1-154334798-154335395,chr1-154342513-154343557
PBXIP1,chr1-154954976-154956383,chr1-155126421-155128326
LMNA,chr1-156096315-156097577,chr1-156103724-156104493
LMNA,chr1-156096315-156097577,chr1-156114084-156115455
LMNA,chr1-156096315-156097577,chr1-156126136-156126635
LMNA,chr1-156096315-156097577,chr1-156145914-156146479
LMNA,chr1-156096315-156097577,chr1-156105921-156106835
LMNA,chr1-156103724-156104493,chr1-156114084-156115455
LMNA,chr1-156103724-156104493,chr1-156126136-156126635
LMNA,chr1-156103724-156104493,chr1-156145914-156146479
LMNA,chr1-156103724-156104493,chr1-156105921-156106835
LMNA,chr1-156114084-156115455,chr1-156126136-156126635
LMNA,chr1-156114084-156115455,chr1-156145914-156146479
LMNA,chr1-156114084-156115455,chr1-156105921-156106835
LMNA,chr1-156126136-156126635,chr1-156145914-156146479
LMNA,chr1-156126136-156126635,chr1-156105921-156106835
LMNA,chr1-156145914-156146479,chr1-156105921-156106835
TSTD1,chr1-160558611-160560728,chr1-160795463-160796464
TSTD1,chr1-160558611-160560728,chr1-160837118-160838241
TSTD1,chr1-160558611-160560728,chr1-161176619-161177883
TSTD1,chr1-160558611-160560728,chr1-160578924-160579594
TSTD1,chr1-160795463-160796464,chr1-160837118-160838241
TSTD1,chr1-160795463-160796464,chr1-161176619-161177883
TSTD1,chr1-160795463-160796464,chr1-160578924-160579594
TSTD1,chr1-160837118-160838241,chr1-161176619-161177883
TSTD1,chr1-160837118-160838241,chr1-160578924-160579594
TSTD1,chr1-161176619-161177883,chr1-160578924-160579594
CD247,chr1-166974642-166976091,chr1-167219792-167222604
CD247,chr1-166974642-166976091,chr1-167446879-167448222
CD247,chr1-166974642-166976091,chr1-167454346-167456309
CD247,chr1-166974642-166976091,chr1-167552997-167554176
CD247,chr1-166974642-166976091,chr1-167627491-167628583
CD247,chr1-166974642-166976091,chr1-167636955-167638043
CD247,chr1-166974642-166976091,chr1-167713300-167715715
CD247,chr1-166974642-166976091,chr1-167935045-167937615
CD247,chr1-167219792-167222604,chr1-167446879-167448222
CD247,chr1-167219792-167222604,chr1-167454346-167456309
CD247,chr1-167219792-167222604,chr1-167552997-167554176
CD247,chr1-167219792-167222604,chr1-167627491-167628583
CD247,chr1-167219792-167222604,chr1-167636955-167638043
CD247,chr1-167219792-167222604,chr1-167713300-167715715
CD247,chr1-167219792-167222604,chr1-167935045-167937615
CD247,chr1-167446879-167448222,chr1-167454346-167456309
CD247,chr1-167446879-167448222,chr1-167552997-167554176
CD247,chr1-167446879-167448222,chr1-167627491-167628583
CD247,chr1-167446879-167448222,chr1-167636955-167638043
CD247,chr1-167446879-167448222,chr1-167713300-167715715
CD247,chr1-167446879-167448222,chr1-167935045-167937615
CD247,chr1-167454346-167456309,chr1-167552997-167554176
CD247,chr1-167454346-167456309,chr1-167627491-167628583
CD247,chr1-167454346-167456309,chr1-167636955-167638043
CD247,chr1-167454346-167456309,chr1-167713300-167715715
CD247,chr1-167454346-167456309,chr1-167935045-167937615
CD247,chr1-167552997-167554176,chr1-167627491-167628583
CD247,chr1-167552997-167554176,chr1-167636955-167638043
CD247,chr1-167552997-167554176,chr1-167713300-167715715
CD247,chr1-167552997-167554176,chr1-167935045-167937615
CD247,chr1-167627491-167628583,chr1-167636955-167638043
