gene,enhancer_1,enhancer_2
RPS16,chr19-39409482-39410260,chr19-39444682-39446088
RPS19,chr19-41875242-41875853,chr19-41944953-41945855
RPS19,chr19-41875242-41875853,chr19-42074938-42076606
RPS19,chr19-41875242-41875853,chr19-42131966-42133561
RPS19,chr19-41875242-41875853,chr19-41957803-41959769
RPS19,chr19-41875242-41875853,chr19-42253461-42255436
RPS19,chr19-41944953-41945855,chr19-42074938-42076606
RPS19,chr19-41944953-41945855,chr19-42131966-42133561
RPS19,chr19-41944953-41945855,chr19-41957803-41959769
RPS19,chr19-41944953-41945855,chr19-42253461-42255436
RPS19,chr19-42074938-42076606,chr19-42131966-42133561
RPS19,chr19-42074938-42076606,chr19-41957803-41959769
RPS19,chr19-42074938-42076606,chr19-42253461-42255436
RPS19,chr19-42131966-42133561,chr19-41957803-41959769
RPS19,chr19-42131966-42133561,chr19-42253461-42255436
RPS19,chr19-41957803-41959769,chr19-42253461-42255436
PLAUR,chr19-43664002-43664359,chr19-43669666-43670399
ERCC1,chr19-45455651-45456578,chr19-45478017-45479232
ERCC1,chr19-45455651-45456578,chr19-45901253-45903565
ERCC1,chr19-45478017-45479232,chr19-45901253-45903565
FOSB,chr19-45078855-45079995,chr19-45091207-45092113
FOSB,chr19-45078855-45079995,chr19-45250407-45252147
FOSB,chr19-45078855-45079995,chr19-45468855-45469893
FOSB,chr19-45078855-45079995,chr19-45478017-45479232
FOSB,chr19-45078855-45079995,chr19-45484967-45486113
FOSB,chr19-45078855-45079995,chr19-45496364-45497288
FOSB,chr19-45078855-45079995,chr19-45498375-45499608
FOSB,chr19-45078855-45079995,chr19-45506114-45507826
FOSB,chr19-45078855-45079995,chr19-45716684-45718233
FOSB,chr19-45078855-45079995,chr19-45729704-45731241
FOSB,chr19-45078855-45079995,chr19-45768254-45771017
FOSB,chr19-45078855-45079995,chr19-45790710-45791359
FOSB,chr19-45078855-45079995,chr19-45816640-45817489
FOSB,chr19-45078855-45079995,chr19-45901253-45903565
FOSB,chr19-45078855-45079995,chr19-45514515-45516517
FOSB,chr19-45091207-45092113,chr19-45250407-45252147
FOSB,chr19-45091207-45092113,chr19-45468855-45469893
FOSB,chr19-45091207-45092113,chr19-45478017-45479232
FOSB,chr19-45091207-45092113,chr19-45484967-45486113
FOSB,chr19-45091207-45092113,chr19-45496364-45497288
FOSB,chr19-45091207-45092113,chr19-45498375-45499608
FOSB,chr19-45091207-45092113,chr19-45506114-45507826
FOSB,chr19-45091207-45092113,chr19-45716684-45718233
FOSB,chr19-45091207-45092113,chr19-45729704-45731241
FOSB,chr19-45091207-45092113,chr19-45768254-45771017
FOSB,chr19-45091207-45092113,chr19-45790710-45791359
FOSB,chr19-45091207-45092113,chr19-45816640-45817489
FOSB,chr19-45091207-45092113,chr19-45901253-45903565
FOSB,chr19-45091207-45092113,chr19-45514515-45516517
FOSB,chr19-45250407-45252147,chr19-45468855-45469893
FOSB,chr19-45250407-45252147,chr19-45478017-45479232
FOSB,chr19-45250407-45252147,chr19-45484967-45486113
FOSB,chr19-45250407-45252147,chr19-45496364-45497288
FOSB,chr19-45250407-45252147,chr19-45498375-45499608
FOSB,chr19-45250407-45252147,chr19-45506114-45507826
FOSB,chr19-45250407-45252147,chr19-45716684-45718233
FOSB,chr19-45250407-45252147,chr19-45729704-45731241
FOSB,chr19-45250407-45252147,chr19-45768254-45771017
FOSB,chr19-45250407-45252147,chr19-45790710-45791359
FOSB,chr19-45250407-45252147,chr19-45816640-45817489
FOSB,chr19-45250407-45252147,chr19-45901253-45903565
FOSB,chr19-45250407-45252147,chr19-45514515-45516517
FOSB,chr19-45468855-45469893,chr19-45478017-45479232
FOSB,chr19-45468855-45469893,chr19-45484967-45486113
FOSB,chr19-45468855-45469893,chr19-45496364-45497288
FOSB,chr19-45468855-45469893,chr19-45498375-45499608
FOSB,chr19-45468855-45469893,chr19-45506114-45507826
FOSB,chr19-45468855-45469893,chr19-45716684-45718233
FOSB,chr19-45468855-45469893,chr19-45729704-45731241
FOSB,chr19-45468855-45469893,chr19-45768254-45771017
FOSB,chr19-45468855-45469893,chr19-45790710-45791359
FOSB,chr19-45468855-45469893,chr19-45816640-45817489
FOSB,chr19-45468855-45469893,chr19-45901253-45903565
FOSB,chr19-45468855-45469893,chr19-45514515-45516517
FOSB,chr19-45478017-45479232,chr19-45484967-45486113
FOSB,chr19-45478017-45479232,chr19-45496364-45497288
FOSB,chr19-45478017-45479232,chr19-45498375-45499608
FOSB,chr19-45478017-45479232,chr19-45506114-45507826
FOSB,chr19-45478017-45479232,chr19-45716684-45718233
FOSB,chr19-45478017-45479232,chr19-45729704-45731241
FOSB,chr19-45478017-45479232,chr19-45768254-45771017
FOSB,chr19-45478017-45479232,chr19-45790710-45791359
FOSB,chr19-45478017-45479232,chr19-45816640-45817489
FOSB,chr19-45478017-45479232,chr19-45901253-45903565
FOSB,chr19-45478017-45479232,chr19-45514515-45516517
FOSB,chr19-45484967-45486113,chr19-45496364-45497288
