gene,enhancer_1,enhancer_2
ERCC1,chr19-45455651-45456578,chr19-45901253-45903565
ERCC1,chr19-45478017-45479232,chr19-45901253-45903565
VAMP2,chr17-7887215-7888238,chr17-8288001-8289307
VAMP2,chr17-7887215-7888238,chr17-8109571-8110575
VAMP2,chr17-8288001-8289307,chr17-8109571-8110575
MIR646HG,chr20-59722304-59723441,chr20-60054632-60056147
MIR646HG,chr20-59722304-59723441,chr20-60058075-60058749
MIR646HG,chr20-60054632-60056147,chr20-60058075-60058749
ACAP1,chr17-7045845-7047225,chr17-7383545-7384678
ACAP1,chr17-7045845-7047225,chr17-7478339-7479799
ACAP1,chr17-7383545-7384678,chr17-7478339-7479799
ADD3,chr10-110006911-110008988,chr10-110076473-110078137
ADD3,chr10-110006911-110008988,chr10-110414223-110415076
ADD3,chr10-110076473-110078137,chr10-110414223-110415076
SLC2A3,chr12-7935132-7936584,chr12-7958627-7959008
SLC2A3,chr12-7935132-7936584,chr12-7959399-7961216
SLC2A3,chr12-7958627-7959008,chr12-7959399-7961216
NDFIP1,chr5-141701770-141703330,chr5-142108265-142109736
NDFIP1,chr5-141701770-141703330,chr5-142222168-142224110
NDFIP1,chr5-142108265-142109736,chr5-142222168-142224110
KLF12,chr13-74132883-74136577,chr13-74286899-74288894
KLF12,chr13-74132883-74136577,chr13-74290035-74290733
KLF12,chr13-74286899-74288894,chr13-74290035-74290733
CCND2,chr12-4030732-4032037,chr12-4268788-4269947
CCND2,chr12-4030732-4032037,chr12-4271709-4272951
CCND2,chr12-4268788-4269947,chr12-4271709-4272951
B2M,chr15-44682801-44683769,chr15-44719271-44720571
B2M,chr15-44682801-44683769,chr15-45186818-45188800
B2M,chr15-44719271-44720571,chr15-45186818-45188800
ZNF136,chr19-11987073-11989129,chr19-12672025-12672303
ZNF136,chr19-11987073-11989129,chr19-12680939-12682221
ZNF136,chr19-12672025-12672303,chr19-12680939-12682221
ITPRIP,chr10-104321948-104322826,chr10-104323973-104324596
ITPRIP,chr10-104321948-104322826,chr10-104328751-104329641
ITPRIP,chr10-104323973-104324596,chr10-104328751-104329641
ETS1,chr11-128290004-128290877,chr11-128521754-128523296
ETS1,chr11-128290004-128290877,chr11-128624043-128625150
ETS1,chr11-128521754-128523296,chr11-128624043-128625150
NPLOC4,chr17-81291608-81291999,chr17-81711378-81712765
NPLOC4,chr17-81291608-81291999,chr17-81735315-81736032
NPLOC4,chr17-81711378-81712765,chr17-81735315-81736032
CLEC2D,chr12-9647383-9648617,chr12-9650333-9651112
CLEC2D,chr12-9647383-9648617,chr12-9764469-9765424
CLEC2D,chr12-9650333-9651112,chr12-9764469-9765424
IFITM3,chr11-567562-569247,chr11-746535-748793
IFITM3,chr11-567562-569247,chr11-776557-778157
IFITM3,chr11-746535-748793,chr11-776557-778157
CYFIP2,chr5-157265282-157266824,chr5-157271527-157272681
CYFIP2,chr5-157265282-157266824,chr5-157252607-157253720
CYFIP2,chr5-157271527-157272681,chr5-157252607-157253720
CD44,chr11-35138547-35140084,chr11-35303605-35304721
CD44,chr11-35138547-35140084,chr11-35077522-35078474
CD44,chr11-35303605-35304721,chr11-35077522-35078474
S100A10,chr1-151941132-151941739,chr1-152000707-152002043
S100A10,chr1-151941132-151941739,chr1-151992395-151994546
S100A10,chr1-152000707-152002043,chr1-151992395-151994546
GBP1,chr1-89064169-89065719,chr1-89272246-89273541
GBP1,chr1-89064169-89065719,chr1-89309979-89311237
GBP1,chr1-89272246-89273541,chr1-89309979-89311237
SYNE2,chr14-63727161-63728445,chr14-63852425-63854189
SYNE2,chr14-63727161-63728445,chr14-64722537-64723221
SYNE2,chr14-63852425-63854189,chr14-64722537-64723221
CFL1,chr11-65651628-65653429,chr11-65775460-65776547
CFL1,chr11-65651628-65653429,chr11-66288457-66289795
CFL1,chr11-65775460-65776547,chr11-66288457-66289795
PACS1,chr11-66346995-66348352,chr11-66256775-66258620
PACS1,chr11-66346995-66348352,chr11-66370998-66372661
PACS1,chr11-66256775-66258620,chr11-66370998-66372661
GNL1,chr6-30453458-30453937,chr6-30541483-30542705
GNL1,chr6-30453458-30453937,chr6-30682125-30683008
GNL1,chr6-30541483-30542705,chr6-30682125-30683008
SRGN,chr10-69088841-69089191,chr10-69101529-69102023
SRGN,chr10-69088841-69089191,chr10-69105512-69106566
SRGN,chr10-69101529-69102023,chr10-69105512-69106566
IRF1,chr5-132472899-132473379,chr5-132489974-132491273
IRF1,chr5-132472899-132473379,chr5-132495674-132497227
IRF1,chr5-132489974-132491273,chr5-132495674-132497227
NOL4L,chr20-32189295-32190732,chr20-32521556-32522061
NOL4L,chr20-32189295-32190732,chr20-32535942-32537531
NOL4L,chr20-32521556-32522061,chr20-32535942-32537531
LDHB,chr12-21437157-21438485,chr12-21656828-21658116
LDHB,chr12-21437157-21438485,chr12-22045848-22046978
LDHB,chr12-21656828-21658116,chr12-22045848-22046978
RPL24,chr3-101724238-101725453,chr3-101827146-101828169
RPL24,chr3-101724238-101725453,chr3-101850419-101851039
