gene,enhancer_1,enhancer_2
RPS10,chr6-34248278-34249615,chr6-34887371-34889937
CAMK2G,chr10-73717267-73718162,chr10-74175935-74177407
MAPK14,chr6-36118466-36118953,chr6-36369201-36369803
TREM1,chr6-41271681-41272628,chr6-41278796-41279254
SCML4,chr6-107488677-107491345,chr6-107823877-107824946
FYN,chr6-111604647-111606350,chr6-111758591-111760357
NMT1,chr17-45018748-45019625,chr17-45432409-45433078
UTRN,chr6-144590361-144591068,chr6-144062889-144065055
IFI35,chr17-42608334-42610131,chr17-42928190-42929528
BRAT1,chr7-2347620-2348316,chr7-2843267-2844794
RPL23,chr17-38898234-38899490,chr17-39238135-39239067
TRBC1,chr7-142808356-142809545,chr7-142853690-142855460
TRBC2,chr7-142782907-142783570,chr7-142808356-142809545
GSTK1,chr7-142782907-142783570,chr7-142808356-142809545
P2RX1,chr17-3915889-3917471,chr17-4002169-4002662
CHMP7,chr8-23162369-23164332,chr8-23217860-23219819
CEBPD,chr8-47734624-47735547,chr8-47737214-47739071
RPL30,chr8-97643221-97645685,chr8-98044831-98046358
PABPC1,chr8-100791189-100792149,chr8-100761483-100762863
ZHX2,chr8-123037429-123037912,chr8-122780056-122783279
RPL13,chr16-89557447-89557706,chr16-89720616-89722995
TRADD,chr16-66933757-66935421,chr16-66947061-66949051
LAT,chr16-28984172-28985582,chr16-29012855-29013546
SRRM2,chr16-2459299-2460439,chr16-3023387-3024449
GDI2,chr10-6088513-6090077,chr10-6188104-6188893
UPF2,chr10-11757500-11758349,chr10-12068236-12069714
ANK3,chr10-59905042-59907136,chr10-60732207-60733670
UQCR11,chr19-1205218-1206693,chr19-1883593-1885673
RHOF,chr12-121399459-121401110,chr12-121589522-121591404
SH3RF3,chr2-109127963-109130379,chr2-109213252-109214449
CD55,chr1-207328655-207329837,chr1-207335615-207337448
RPA2,chr1-27527768-27528506,chr1-28176253-28176812
PIM2,chrX-48475402-48476579,chrX-48910905-48912375
SULF2,chr20-47663412-47664291,chr20-47767953-47768751
TNIK,chr3-170907676-170909292,chr3-171458900-171461312
PLEKHO1,chr1-149899029-149900305,chr1-150281079-150282823
DDX3X,chrX-41350504-41351644,chrX-41352060-41352998
PLAUR,chr19-43664002-43664359,chr19-43669666-43670399
CYP1B1-AS1,chr2-37615524-37616568,chr2-38148129-38148962
SMAP2,chr1-40152861-40153902,chr1-40257250-40258543
TECR,chr19-14366458-14366958,chr19-14521986-14522800
ADGRE2,chr19-14775734-14777218,chr19-15209995-15210845
HSH2D,chr19-16001470-16003102,chr19-16142903-16144160
ABCG1,chr21-42218536-42220706,chr21-42424666-42425840
MX1,chr21-41419768-41420836,chr21-41425618-41427096
CD86,chr3-122002717-122003489,chr3-122074486-122075178
CD2,chr1-116737150-116739345,chr1-116769200-116770550
CD96,chr3-111070583-111072524,chr3-111673694-111675190
CALM2,chr2-47002263-47003017,chr2-47033690-47035727
MX2,chr21-41419768-41420836,chr21-41425618-41427096
RPS21,chr20-62237690-62239109,chr20-62776144-62777695
TUT4,chr1-52632658-52633745,chr1-52920730-52921950
RHOA,chr3-49028370-49029705,chr3-49723279-49724437
MXD1,chr2-70029440-70030411,chr2-69926852-69927474
PDE4B,chr1-66331992-66332455,chr1-66374030-66375142
RPL32,chr3-12462155-12463213,chr3-12556337-12557552
RPL28,chr19-55275972-55277083,chr19-55640043-55642046
DIPK1A,chr1-92484542-92487131,chr1-92980578-92981736
KEAP1,chr19-10565251-10567117,chr19-10652535-10654933
SLC11A1,chr2-218381620-218382414,chr2-218398382-218398745
TSC22D3,chrX-107673539-107675081,chrX-107712196-107713116
GADD45B,chr19-2487759-2489509,chr19-2543221-2544343
SAMHD1,chr20-36773133-36774515,chr20-37276477-37277317
ZEB2,chr2-144413856-144414905,chr2-144459694-144460372
FCGRT,chr19-49468357-49469487,chr19-49589758-49591874
S100A9,chr1-153357164-153358371,chr1-153386141-153386994
GOLPH3L,chr1-150293065-150294503,chr1-150973513-150975267
BAZ2B,chr2-159326278-159327213,chr2-159903294-159905299
LINC00342,chr2-96163283-96165071,chr2-96304705-96306241
HCK,chr20-31661128-31662437,chr20-32535942-32537531
MAN1C1,chr1-25561510-25562892,chr1-25819194-25821352
KDM4B,chr19-4811366-4811929,chr19-5621746-5624080
SH3BGRL3,chr1-25895035-25895736,chr1-26233480-26235299
PTPN4,chr2-120012432-120013572,chr2-120176493-120177620
PADI4,chr1-17281571-17282607,chr1-17307936-17308894
NR3C2,chr4-147866636-147867138,chr4-148443611-148445924
RFX2,chr19-6056457-6057822,chr19-6062225-6062621
RPS3A,chr4-151014427-151016400,chr4-151407604-151409995
RHOH,chr4-40289309-40290196,chr4-40309071-40309710
RPS4X,chrX-72238372-72239483,chrX-72276316-72277491
PBXIP1,chr1-154954976-154956383,chr1-155126421-155128326
IL2RG,chrX-71111100-71112428,chrX-71365445-71367210
TNFRSF1B,chr1-12177548-12178532,chr1-12617039-12618665
SYTL1,chr1-27136836-27137875,chr1-27356460-27357815
KIAA0232,chr4-6639854-6641941,chr4-6941694-6942796
