gene,enhancer_1,enhancer_2
FOSB,chr19-45091207-45092113,chr19-45484967-45486113
FOSB,chr19-45091207-45092113,chr19-45496364-45497288
FOSB,chr19-45091207-45092113,chr19-45498375-45499608
FOSB,chr19-45091207-45092113,chr19-45506114-45507826
FOSB,chr19-45091207-45092113,chr19-45716684-45718233
FOSB,chr19-45091207-45092113,chr19-45729704-45731241
FOSB,chr19-45091207-45092113,chr19-45768254-45771017
FOSB,chr19-45091207-45092113,chr19-45790710-45791359
FOSB,chr19-45091207-45092113,chr19-45816640-45817489
FOSB,chr19-45091207-45092113,chr19-45901253-45903565
FOSB,chr19-45091207-45092113,chr19-45514515-45516517
FOSB,chr19-45250407-45252147,chr19-45468855-45469893
FOSB,chr19-45250407-45252147,chr19-45478017-45479232
FOSB,chr19-45250407-45252147,chr19-45484967-45486113
FOSB,chr19-45250407-45252147,chr19-45496364-45497288
FOSB,chr19-45250407-45252147,chr19-45498375-45499608
FOSB,chr19-45250407-45252147,chr19-45506114-45507826
FOSB,chr19-45250407-45252147,chr19-45716684-45718233
FOSB,chr19-45250407-45252147,chr19-45729704-45731241
FOSB,chr19-45250407-45252147,chr19-45768254-45771017
FOSB,chr19-45250407-45252147,chr19-45790710-45791359
FOSB,chr19-45250407-45252147,chr19-45816640-45817489
FOSB,chr19-45250407-45252147,chr19-45901253-45903565
FOSB,chr19-45250407-45252147,chr19-45514515-45516517
FOSB,chr19-45468855-45469893,chr19-45478017-45479232
FOSB,chr19-45468855-45469893,chr19-45484967-45486113
FOSB,chr19-45468855-45469893,chr19-45496364-45497288
FOSB,chr19-45468855-45469893,chr19-45498375-45499608
FOSB,chr19-45468855-45469893,chr19-45506114-45507826
FOSB,chr19-45468855-45469893,chr19-45716684-45718233
FOSB,chr19-45468855-45469893,chr19-45729704-45731241
FOSB,chr19-45468855-45469893,chr19-45768254-45771017
FOSB,chr19-45468855-45469893,chr19-45790710-45791359
FOSB,chr19-45468855-45469893,chr19-45816640-45817489
FOSB,chr19-45468855-45469893,chr19-45901253-45903565
FOSB,chr19-45468855-45469893,chr19-45514515-45516517
FOSB,chr19-45478017-45479232,chr19-45484967-45486113
FOSB,chr19-45478017-45479232,chr19-45496364-45497288
FOSB,chr19-45478017-45479232,chr19-45498375-45499608
FOSB,chr19-45478017-45479232,chr19-45506114-45507826
FOSB,chr19-45478017-45479232,chr19-45716684-45718233
FOSB,chr19-45478017-45479232,chr19-45729704-45731241
FOSB,chr19-45478017-45479232,chr19-45768254-45771017
FOSB,chr19-45478017-45479232,chr19-45790710-45791359
FOSB,chr19-45478017-45479232,chr19-45816640-45817489
FOSB,chr19-45478017-45479232,chr19-45901253-45903565
FOSB,chr19-45478017-45479232,chr19-45514515-45516517
FOSB,chr19-45484967-45486113,chr19-45496364-45497288
FOSB,chr19-45484967-45486113,chr19-45498375-45499608
FOSB,chr19-45484967-45486113,chr19-45506114-45507826
FOSB,chr19-45484967-45486113,chr19-45716684-45718233
FOSB,chr19-45484967-45486113,chr19-45729704-45731241
FOSB,chr19-45484967-45486113,chr19-45768254-45771017
FOSB,chr19-45484967-45486113,chr19-45790710-45791359
FOSB,chr19-45484967-45486113,chr19-45816640-45817489
FOSB,chr19-45484967-45486113,chr19-45901253-45903565
FOSB,chr19-45484967-45486113,chr19-45514515-45516517
FOSB,chr19-45496364-45497288,chr19-45498375-45499608
FOSB,chr19-45496364-45497288,chr19-45506114-45507826
FOSB,chr19-45496364-45497288,chr19-45716684-45718233
FOSB,chr19-45496364-45497288,chr19-45729704-45731241
FOSB,chr19-45496364-45497288,chr19-45768254-45771017
FOSB,chr19-45496364-45497288,chr19-45790710-45791359
FOSB,chr19-45496364-45497288,chr19-45816640-45817489
FOSB,chr19-45496364-45497288,chr19-45901253-45903565
FOSB,chr19-45496364-45497288,chr19-45514515-45516517
FOSB,chr19-45498375-45499608,chr19-45506114-45507826
FOSB,chr19-45498375-45499608,chr19-45716684-45718233
FOSB,chr19-45498375-45499608,chr19-45729704-45731241
FOSB,chr19-45498375-45499608,chr19-45768254-45771017
FOSB,chr19-45498375-45499608,chr19-45790710-45791359
FOSB,chr19-45498375-45499608,chr19-45816640-45817489
FOSB,chr19-45498375-45499608,chr19-45901253-45903565
FOSB,chr19-45498375-45499608,chr19-45514515-45516517
FOSB,chr19-45506114-45507826,chr19-45716684-45718233
FOSB,chr19-45506114-45507826,chr19-45729704-45731241
FOSB,chr19-45506114-45507826,chr19-45768254-45771017
FOSB,chr19-45506114-45507826,chr19-45790710-45791359
FOSB,chr19-45506114-45507826,chr19-45816640-45817489
FOSB,chr19-45506114-45507826,chr19-45901253-45903565
FOSB,chr19-45506114-45507826,chr19-45514515-45516517
FOSB,chr19-45716684-45718233,chr19-45729704-45731241
FOSB,chr19-45716684-45718233,chr19-45768254-45771017
FOSB,chr19-45716684-45718233,chr19-45790710-45791359
FOSB,chr19-45716684-45718233,chr19-45816640-45817489
FOSB,chr19-45716684-45718233,chr19-45901253-45903565
