gene,enhancer_1,enhancer_2
ACTB,chr7-5561963-5563880,chr7-5695072-5695810
ACTB,chr7-5561963-5563880,chr7-5780683-5781984
ACTB,chr7-5561963-5563880,chr7-5045095-5046688
ACTB,chr7-5695072-5695810,chr7-5780683-5781984
ACTB,chr7-5695072-5695810,chr7-5045095-5046688
ACTB,chr7-5780683-5781984,chr7-5045095-5046688
LEF1,chr4-107719268-107721709,chr4-107989140-107990741
LEF1,chr4-107719268-107721709,chr4-108619271-108621049
LEF1,chr4-107719268-107721709,chr4-108649496-108650973
LEF1,chr4-107989140-107990741,chr4-108619271-108621049
LEF1,chr4-107989140-107990741,chr4-108649496-108650973
LEF1,chr4-108619271-108621049,chr4-108649496-108650973
RPL10,chrX-154096425-154098209,chrX-154411067-154412866
RPL10,chrX-154096425-154098209,chrX-154457428-154458962
RPL10,chrX-154096425-154098209,chrX-154750320-154751610
RPL10,chrX-154411067-154412866,chrX-154457428-154458962
RPL10,chrX-154411067-154412866,chrX-154750320-154751610
RPL10,chrX-154457428-154458962,chrX-154750320-154751610
HLA-DMB,chr6-33027601-33028840,chr6-33029051-33030140
HLA-DMB,chr6-33027601-33028840,chr6-33075303-33076229
HLA-DMB,chr6-33027601-33028840,chr6-32636861-32637580
HLA-DMB,chr6-33029051-33030140,chr6-33075303-33076229
HLA-DMB,chr6-33029051-33030140,chr6-32636861-32637580
HLA-DMB,chr6-33075303-33076229,chr6-32636861-32637580
IRS2,chr13-109389616-109390374,chr13-109704504-109705696
IRS2,chr13-109389616-109390374,chr13-110137741-110138937
IRS2,chr13-109389616-109390374,chr13-110160300-110161734
IRS2,chr13-109704504-109705696,chr13-110137741-110138937
IRS2,chr13-109704504-109705696,chr13-110160300-110161734
IRS2,chr13-110137741-110138937,chr13-110160300-110161734
PLK3,chr1-44720970-44722284,chr1-44799651-44801041
PLK3,chr1-44720970-44722284,chr1-44813385-44814046
PLK3,chr1-44720970-44722284,chr1-44818973-44820681
PLK3,chr1-44799651-44801041,chr1-44813385-44814046
PLK3,chr1-44799651-44801041,chr1-44818973-44820681
PLK3,chr1-44813385-44814046,chr1-44818973-44820681
PIK3IP1,chr22-31107057-31108003,chr22-31291956-31292646
PIK3IP1,chr22-31107057-31108003,chr22-31345181-31347785
PIK3IP1,chr22-31107057-31108003,chr22-31665411-31665961
PIK3IP1,chr22-31291956-31292646,chr22-31345181-31347785
PIK3IP1,chr22-31291956-31292646,chr22-31665411-31665961
PIK3IP1,chr22-31345181-31347785,chr22-31665411-31665961
RPL10A,chr6-35451551-35453007,chr6-35727539-35728455
RPL10A,chr6-35451551-35453007,chr6-35731313-35732377
RPL10A,chr6-35451551-35453007,chr6-35600589-35602945
RPL10A,chr6-35727539-35728455,chr6-35731313-35732377
RPL10A,chr6-35727539-35728455,chr6-35600589-35602945
RPL10A,chr6-35731313-35732377,chr6-35600589-35602945
TCF7L2,chr10-112851394-112852686,chr10-113151017-113152007
TCF7L2,chr10-112851394-112852686,chr10-113169691-113170530
TCF7L2,chr10-112851394-112852686,chr10-113322548-113323209
TCF7L2,chr10-113151017-113152007,chr10-113169691-113170530
TCF7L2,chr10-113151017-113152007,chr10-113322548-113323209
TCF7L2,chr10-113169691-113170530,chr10-113322548-113323209
GBP5,chr1-89272246-89273541,chr1-89274199-89274808
GBP5,chr1-89272246-89273541,chr1-89278633-89279495
GBP5,chr1-89272246-89273541,chr1-89309979-89311237
GBP5,chr1-89274199-89274808,chr1-89278633-89279495
GBP5,chr1-89274199-89274808,chr1-89309979-89311237
GBP5,chr1-89278633-89279495,chr1-89309979-89311237
ABHD5,chr3-43388935-43390602,chr3-43690053-43691710
ABHD5,chr3-43388935-43390602,chr3-43708886-43709431
ABHD5,chr3-43388935-43390602,chr3-43769154-43770406
ABHD5,chr3-43690053-43691710,chr3-43708886-43709431
ABHD5,chr3-43690053-43691710,chr3-43769154-43770406
ABHD5,chr3-43708886-43709431,chr3-43769154-43770406
TBC1D10C,chr11-67408974-67409965,chr11-67420513-67421490
TBC1D10C,chr11-67408974-67409965,chr11-67484011-67485272
TBC1D10C,chr11-67408974-67409965,chr11-67403585-67404035
TBC1D10C,chr11-67420513-67421490,chr11-67484011-67485272
TBC1D10C,chr11-67420513-67421490,chr11-67403585-67404035
TBC1D10C,chr11-67484011-67485272,chr11-67403585-67404035
RPS28,chr19-7862121-7863248,chr19-7868448-7870099
RPS28,chr19-7862121-7863248,chr19-8208486-8210220
RPS28,chr19-7862121-7863248,chr19-8591705-8592987
RPS28,chr19-7868448-7870099,chr19-8208486-8210220
RPS28,chr19-7868448-7870099,chr19-8591705-8592987
RPS28,chr19-8208486-8210220,chr19-8591705-8592987
ITK,chr5-157265282-157266824,chr5-157271527-157272681
ITK,chr5-157265282-157266824,chr5-157743142-157744733
ITK,chr5-157265282-157266824,chr5-157252607-157253720
ITK,chr5-157271527-157272681,chr5-157743142-157744733
ITK,chr5-157271527-157272681,chr5-157252607-157253720
ITK,chr5-157743142-157744733,chr5-157252607-157253720
MSI2,chr17-56832837-56835170,chr17-58156709-58157775
MSI2,chr17-56832837-56835170,chr17-57605158-57606191
