gene,enhancer_1,enhancer_2
TC2N,chr14-91315657-91316312,chr14-91415889-91416627
TC2N,chr14-91315657-91316312,chr14-91417336-91419355
TC2N,chr14-91315657-91316312,chr14-91509138-91511027
TC2N,chr14-91315657-91316312,chr14-91835533-91836998
TC2N,chr14-91315657-91316312,chr14-92039140-92041036
TC2N,chr14-91315657-91316312,chr14-91323432-91324518
TC2N,chr14-91317243-91318171,chr14-91415889-91416627
TC2N,chr14-91317243-91318171,chr14-91417336-91419355
TC2N,chr14-91317243-91318171,chr14-91509138-91511027
TC2N,chr14-91317243-91318171,chr14-91835533-91836998
TC2N,chr14-91317243-91318171,chr14-92039140-92041036
TC2N,chr14-91317243-91318171,chr14-91323432-91324518
TC2N,chr14-91415889-91416627,chr14-91417336-91419355
TC2N,chr14-91415889-91416627,chr14-91509138-91511027
TC2N,chr14-91415889-91416627,chr14-91835533-91836998
TC2N,chr14-91415889-91416627,chr14-92039140-92041036
TC2N,chr14-91415889-91416627,chr14-91323432-91324518
TC2N,chr14-91417336-91419355,chr14-91509138-91511027
TC2N,chr14-91417336-91419355,chr14-91835533-91836998
TC2N,chr14-91417336-91419355,chr14-92039140-92041036
TC2N,chr14-91417336-91419355,chr14-91323432-91324518
TC2N,chr14-91509138-91511027,chr14-91835533-91836998
TC2N,chr14-91509138-91511027,chr14-92039140-92041036
TC2N,chr14-91509138-91511027,chr14-91323432-91324518
TC2N,chr14-91835533-91836998,chr14-92039140-92041036
TC2N,chr14-91835533-91836998,chr14-91323432-91324518
TC2N,chr14-92039140-92041036,chr14-91323432-91324518
BCL11B,chr14-99603351-99605612,chr14-99682727-99684681
EVL,chr14-99603351-99605612,chr14-99970936-99972725
EVL,chr14-99603351-99605612,chr14-100108150-100108603
EVL,chr14-99603351-99605612,chr14-100146407-100147649
EVL,chr14-99603351-99605612,chr14-100213570-100214945
EVL,chr14-99603351-99605612,chr14-100221121-100222596
EVL,chr14-99970936-99972725,chr14-100108150-100108603
EVL,chr14-99970936-99972725,chr14-100146407-100147649
EVL,chr14-99970936-99972725,chr14-100213570-100214945
EVL,chr14-99970936-99972725,chr14-100221121-100222596
EVL,chr14-100108150-100108603,chr14-100146407-100147649
EVL,chr14-100108150-100108603,chr14-100213570-100214945
EVL,chr14-100108150-100108603,chr14-100221121-100222596
EVL,chr14-100146407-100147649,chr14-100213570-100214945
EVL,chr14-100146407-100147649,chr14-100221121-100222596
EVL,chr14-100213570-100214945,chr14-100221121-100222596
PPP2R5C,chr14-101721599-101722759,chr14-102319089-102320393
GOLGA8B,chr15-34366201-34368185,chr15-34582400-34584340
RASGRP1,chr15-38453778-38455019,chr15-38563685-38565227
B2M,chr15-44682801-44683769,chr15-44719271-44720571
B2M,chr15-44682801-44683769,chr15-45186818-45188800
B2M,chr15-44719271-44720571,chr15-45186818-45188800
USP3,chr15-63479269-63480109,chr15-64092998-64094386
SRRM2,chr16-2459299-2460439,chr16-3023387-3024449
IL32,chr16-2672893-2674214,chr16-2681760-2683027
IL32,chr16-2672893-2674214,chr16-2715313-2715912
IL32,chr16-2672893-2674214,chr16-2911374-2912764
IL32,chr16-2672893-2674214,chr16-2979658-2980950
IL32,chr16-2672893-2674214,chr16-3058049-3059909
IL32,chr16-2672893-2674214,chr16-3074366-3075772
IL32,chr16-2672893-2674214,chr16-3105642-3106963
IL32,chr16-2672893-2674214,chr16-3123437-3124992
IL32,chr16-2672893-2674214,chr16-3157408-3159340
IL32,chr16-2672893-2674214,chr16-3214747-3216543
IL32,chr16-2672893-2674214,chr16-3234452-3235553
IL32,chr16-2672893-2674214,chr16-3364462-3365697
IL32,chr16-2672893-2674214,chr16-3400256-3401669
IL32,chr16-2672893-2674214,chr16-3499839-3501325
IL32,chr16-2672893-2674214,chr16-3129113-3129892
IL32,chr16-2681760-2683027,chr16-2715313-2715912
IL32,chr16-2681760-2683027,chr16-2911374-2912764
IL32,chr16-2681760-2683027,chr16-2979658-2980950
IL32,chr16-2681760-2683027,chr16-3058049-3059909
IL32,chr16-2681760-2683027,chr16-3074366-3075772
IL32,chr16-2681760-2683027,chr16-3105642-3106963
IL32,chr16-2681760-2683027,chr16-3123437-3124992
IL32,chr16-2681760-2683027,chr16-3157408-3159340
IL32,chr16-2681760-2683027,chr16-3214747-3216543
IL32,chr16-2681760-2683027,chr16-3234452-3235553
IL32,chr16-2681760-2683027,chr16-3364462-3365697
IL32,chr16-2681760-2683027,chr16-3400256-3401669
IL32,chr16-2681760-2683027,chr16-3499839-3501325
IL32,chr16-2681760-2683027,chr16-3129113-3129892
IL32,chr16-2715313-2715912,chr16-2911374-2912764
IL32,chr16-2715313-2715912,chr16-2979658-2980950
IL32,chr16-2715313-2715912,chr16-3058049-3059909
IL32,chr16-2715313-2715912,chr16-3074366-3075772
IL32,chr16-2715313-2715912,chr16-3105642-3106963
IL32,chr16-2715313-2715912,chr16-3123437-3124992
