peak,gene
chr6-14799768-14800262,JARID2
chr6-14856974-14858007,JARID2
chr6-14865434-14866165,JARID2
chr6-14876788-14877609,JARID2
chr6-14910233-14911513,JARID2
chr6-14921068-14922678,JARID2
chr6-14966904-14967850,JARID2
chr6-15066472-15067363,JARID2
chr6-15150909-15151690,JARID2
chr6-15193376-15194835,JARID2
chr6-15219290-15220104,JARID2
chr6-15244677-15246099,JARID2
chr6-15247949-15249431,JARID2
chr6-15254100-15254693,JARID2
chr6-15299095-15299892,JARID2
chr6-15365171-15365600,JARID2
chr6-15420775-15421457,JARID2
chr6-15427015-15428044,JARID2
chr6-15690929-15691618,JARID2
chr6-15900905-15902051,JARID2
chr6-15661934-15663247,JARID2
chr6-15066472-15067363,DTNBP1
chr6-15150909-15151690,DTNBP1
chr6-15193376-15194835,DTNBP1
chr6-15219290-15220104,DTNBP1
chr6-15244677-15246099,DTNBP1
chr6-15247949-15249431,DTNBP1
chr6-15254100-15254693,DTNBP1
chr6-15299095-15299892,DTNBP1
chr6-15365171-15365600,DTNBP1
chr6-15420775-15421457,DTNBP1
chr6-15427015-15428044,DTNBP1
chr6-15690929-15691618,DTNBP1
chr6-15900905-15902051,DTNBP1
chr6-16128462-16130098,DTNBP1
chr6-16130626-16131261,DTNBP1
chr6-16136133-16137406,DTNBP1
chr6-15661934-15663247,DTNBP1
chr6-15690929-15691618,MYLIP
chr6-15900905-15902051,MYLIP
chr6-16128462-16130098,MYLIP
chr6-16130626-16131261,MYLIP
chr6-16136133-16137406,MYLIP
chr6-16179500-16180747,MYLIP
chr6-16237966-16239926,MYLIP
chr6-16319579-16320468,MYLIP
chr6-16322374-16323170,MYLIP
chr6-16331205-16332417,MYLIP
chr6-16419598-16421473,MYLIP
chr6-16481284-16482167,MYLIP
chr6-16483309-16483858,MYLIP
chr6-16585681-16586586,MYLIP
chr6-15661934-15663247,MYLIP
chr6-15900905-15902051,ATXN1
chr6-16128462-16130098,ATXN1
chr6-16130626-16131261,ATXN1
chr6-16136133-16137406,ATXN1
chr6-16179500-16180747,ATXN1
chr6-16237966-16239926,ATXN1
chr6-16319579-16320468,ATXN1
chr6-16322374-16323170,ATXN1
chr6-16331205-16332417,ATXN1
chr6-16419598-16421473,ATXN1
chr6-16481284-16482167,ATXN1
chr6-16483309-16483858,ATXN1
chr6-16585681-16586586,ATXN1
chr6-16651501-16652272,ATXN1
chr6-16681258-16681878,ATXN1
chr6-16683734-16684631,ATXN1
chr6-16700272-16701143,ATXN1
chr6-16706495-16707655,ATXN1
chr6-16726109-16727002,ATXN1
chr6-16752292-16752819,ATXN1
chr6-16768955-16769499,ATXN1
chr6-16770656-16771289,ATXN1
chr6-17015244-17016443,ATXN1
chr6-16711558-16713558,ATXN1
chr6-16727889-16728368,ATXN1
chr6-16759215-16763347,ATXN1
chr6-17580117-17581429,FAM8A1
