peak,gene
chr11-65587889-65588979,SIPA1
chr11-65593528-65594032,SIPA1
chr11-65613633-65614569,SIPA1
chr11-65614786-65616284,SIPA1
chr11-65625645-65626322,SIPA1
chr11-65637827-65639007,SIPA1
chr11-65639472-65641040,SIPA1
chr11-65651628-65653429,SIPA1
chr11-65662120-65664172,SIPA1
chr11-65706106-65706695,SIPA1
chr11-65711275-65712812,SIPA1
chr11-65719694-65720938,SIPA1
chr11-65769575-65770175,SIPA1
chr11-65775460-65776547,SIPA1
chr11-65779805-65781509,SIPA1
chr11-65786318-65788208,SIPA1
chr11-65817557-65818506,SIPA1
chr11-65832839-65834587,SIPA1
chr11-65856851-65858478,SIPA1
chr11-65859100-65860904,SIPA1
chr11-65872131-65874000,SIPA1
chr11-65879307-65880034,SIPA1
chr11-65884500-65884927,SIPA1
chr11-65887952-65889026,SIPA1
chr11-65890193-65891337,SIPA1
chr11-65893911-65894188,SIPA1
chr11-65899102-65900837,SIPA1
chr11-65918482-65920217,SIPA1
chr11-65927392-65928977,SIPA1
chr11-65940995-65941916,SIPA1
chr11-65956500-65957224,SIPA1
chr11-65988472-65989596,SIPA1
chr11-66001538-66003001,SIPA1
chr11-66020188-66021361,SIPA1
chr11-66022276-66022755,SIPA1
chr11-66044816-66045503,SIPA1
chr11-66051302-66052707,SIPA1
chr11-66068150-66068482,SIPA1
chr11-66068834-66071018,SIPA1
chr11-66080331-66081850,SIPA1
chr11-66100196-66101331,SIPA1
chr11-66115390-66115971,SIPA1
chr11-66126597-66127629,SIPA1
chr11-65354041-65355795,SIPA1
chr11-65421281-65421652,SIPA1
chr11-65960928-65962318,SIPA1
chr11-65180540-65182388,RELA
chr11-65225014-65226306,RELA
chr11-65261113-65262545,RELA
chr11-65290315-65291139,RELA
chr11-65291362-65292586,RELA
chr11-65308231-65309257,RELA
chr11-65314282-65315872,RELA
chr11-65316273-65316721,RELA
chr11-65329551-65330198,RELA
chr11-65333126-65334446,RELA
chr11-65362100-65363227,RELA
chr11-65366105-65366569,RELA
chr11-65378092-65378558,RELA
chr11-65381738-65382919,RELA
chr11-65386163-65386781,RELA
chr11-65403233-65404164,RELA
chr11-65416368-65416646,RELA
chr11-65418595-65419297,RELA
chr11-65422050-65422496,RELA
chr11-65422712-65423020,RELA
chr11-65424922-65425469,RELA
chr11-65429927-65430318,RELA
chr11-65431356-65431669,RELA
chr11-65440730-65441189,RELA
chr11-65453017-65453524,RELA
chr11-65454668-65455477,RELA
chr11-65471375-65472477,RELA
chr11-65476674-65478087,RELA
chr11-65487331-65488366,RELA
chr11-65492600-65493148,RELA
chr11-65496959-65497936,RELA
chr11-65498149-65499317,RELA
chr11-65506551-65508522,RELA
chr11-65510652-65511046,RELA
chr11-65521867-65522357,RELA
chr11-65522689-65523721,RELA
chr11-65524118-65525629,RELA
chr11-65539626-65541210,RELA
chr11-65545792-65547040,RELA
chr11-65552001-65552379,RELA
chr11-65553004-65553666,RELA
chr11-65557531-65558808,RELA
chr11-65565905-65566319,RELA
chr11-65569353-65570540,RELA
chr11-65572315-65572658,RELA
chr11-65574109-65574750,RELA
chr11-65575502-65576144,RELA
chr11-65577058-65577759,RELA
chr11-65587889-65588979,RELA
chr11-65593528-65594032,RELA
chr11-65613633-65614569,RELA
chr11-65614786-65616284,RELA
chr11-65625645-65626322,RELA
chr11-65637827-65639007,RELA
chr11-65639472-65641040,RELA
chr11-65651628-65653429,RELA
chr11-65662120-65664172,RELA
chr11-65706106-65706695,RELA
chr11-65711275-65712812,RELA
chr11-65719694-65720938,RELA
chr11-65769575-65770175,RELA
chr11-65775460-65776547,RELA
chr11-65779805-65781509,RELA
chr11-65786318-65788208,RELA
chr11-65817557-65818506,RELA
chr11-65832839-65834587,RELA
chr11-65856851-65858478,RELA
chr11-65859100-65860904,RELA
chr11-65872131-65874000,RELA
chr11-65879307-65880034,RELA
chr11-65884500-65884927,RELA
chr11-65887952-65889026,RELA
chr11-65890193-65891337,RELA
chr11-65893911-65894188,RELA
chr11-65899102-65900837,RELA
chr11-65918482-65920217,RELA
chr11-65927392-65928977,RELA
chr11-65940995-65941916,RELA
chr11-65956500-65957224,RELA
chr11-65988472-65989596,RELA
chr11-66001538-66003001,RELA
