peak,gene
chr20-62795075-62796785,OGFR
chr20-62803924-62805536,OGFR
chr20-62805831-62806279,OGFR
chr20-62808282-62808519,OGFR
chr20-62824689-62825338,OGFR
chr20-62837684-62838768,OGFR
chr20-62860490-62862309,OGFR
chr20-62899758-62901024,OGFR
chr20-62918148-62919164,OGFR
chr20-62925605-62926792,OGFR
chr20-62928714-62929506,OGFR
chr20-62937036-62938889,OGFR
chr20-62952328-62954869,OGFR
chr20-62972180-62973004,OGFR
chr20-62977517-62978366,OGFR
chr20-62980942-62981547,OGFR
chr20-63008717-63009403,OGFR
chr20-63009821-63010652,OGFR
chr20-63101541-63103629,OGFR
chr20-63178815-63179570,OGFR
chr20-63215180-63216936,OGFR
chr20-63272029-63273300,OGFR
chr20-62602411-62604186,OGFR
chr20-62816253-62817154,OGFR
chr20-62832208-62833275,OGFR
chr20-62651032-62652690,OGFR
chr20-62382684-62383003,DIDO1
chr20-62385832-62387560,DIDO1
chr20-62406682-62407809,DIDO1
chr20-62499811-62500652,DIDO1
chr20-62616705-62617212,DIDO1
chr20-62617769-62619065,DIDO1
chr20-62623357-62624963,DIDO1
chr20-62641863-62643342,DIDO1
chr20-62727243-62728805,DIDO1
chr20-62739416-62741182,DIDO1
chr20-62776144-62777695,DIDO1
chr20-62791410-62791733,DIDO1
chr20-62793566-62794769,DIDO1
chr20-62795075-62796785,DIDO1
chr20-62803924-62805536,DIDO1
chr20-62805831-62806279,DIDO1
chr20-62808282-62808519,DIDO1
chr20-62824689-62825338,DIDO1
chr20-62837684-62838768,DIDO1
chr20-62860490-62862309,DIDO1
chr20-62899758-62901024,DIDO1
chr20-62918148-62919164,DIDO1
chr20-62925605-62926792,DIDO1
chr20-62928714-62929506,DIDO1
chr20-62937036-62938889,DIDO1
chr20-62952328-62954869,DIDO1
chr20-62972180-62973004,DIDO1
chr20-62977517-62978366,DIDO1
chr20-62980942-62981547,DIDO1
chr20-63008717-63009403,DIDO1
chr20-63009821-63010652,DIDO1
chr20-63101541-63103629,DIDO1
chr20-63178815-63179570,DIDO1
chr20-63215180-63216936,DIDO1
chr20-63272029-63273300,DIDO1
chr20-63434010-63435228,DIDO1
chr20-62602411-62604186,DIDO1
chr20-62816253-62817154,DIDO1
chr20-62832208-62833275,DIDO1
chr20-62651032-62652690,DIDO1
chr20-62499811-62500652,GID8
chr20-62616705-62617212,GID8
chr20-62617769-62619065,GID8
chr20-62623357-62624963,GID8
chr20-62641863-62643342,GID8
chr20-62727243-62728805,GID8
chr20-62739416-62741182,GID8
chr20-62776144-62777695,GID8
chr20-62791410-62791733,GID8
chr20-62793566-62794769,GID8
chr20-62795075-62796785,GID8
chr20-62803924-62805536,GID8
chr20-62805831-62806279,GID8
chr20-62808282-62808519,GID8
chr20-62824689-62825338,GID8
chr20-62837684-62838768,GID8
chr20-62860490-62862309,GID8
chr20-62899758-62901024,GID8
chr20-62918148-62919164,GID8
chr20-62925605-62926792,GID8
chr20-62928714-62929506,GID8
chr20-62937036-62938889,GID8
chr20-62952328-62954869,GID8
chr20-62972180-62973004,GID8
chr20-62977517-62978366,GID8
