peak,gene
chr16-970018-971452,JMJD8
chr16-979934-982418,JMJD8
chr16-996521-998444,JMJD8
chr16-1003700-1004487,JMJD8
chr16-1151754-1153314,JMJD8
chr16-180120-181710,JMJD8
chr16-228557-229595,JMJD8
chr16-326982-327895,JMJD8
chr16-424495-426805,JMJD8
chr16-588359-590571,JMJD8
chr16-720312-722236,JMJD8
chr16-234201-235752,ANTKMT
chr16-252223-253331,ANTKMT
chr16-324486-325518,ANTKMT
chr16-351896-354050,ANTKMT
chr16-355039-355476,ANTKMT
chr16-361821-362529,ANTKMT
chr16-370287-371339,ANTKMT
chr16-380900-382594,ANTKMT
chr16-383294-383666,ANTKMT
chr16-391630-392985,ANTKMT
chr16-397129-397548,ANTKMT
chr16-400376-402214,ANTKMT
chr16-526749-528888,ANTKMT
chr16-569320-570355,ANTKMT
chr16-578603-579387,ANTKMT
chr16-592711-593069,ANTKMT
chr16-635654-637373,ANTKMT
chr16-641454-642980,ANTKMT
chr16-648065-649836,ANTKMT
chr16-660138-661242,ANTKMT
chr16-667486-669099,ANTKMT
chr16-679330-680557,ANTKMT
chr16-683846-684810,ANTKMT
chr16-689854-690611,ANTKMT
chr16-694385-696021,ANTKMT
chr16-711579-712008,ANTKMT
chr16-714500-715958,ANTKMT
chr16-726599-728601,ANTKMT
chr16-740189-741470,ANTKMT
chr16-785437-785882,ANTKMT
chr16-787705-788944,ANTKMT
chr16-806815-808064,ANTKMT
chr16-963579-965072,ANTKMT
chr16-970018-971452,ANTKMT
chr16-979934-982418,ANTKMT
chr16-996521-998444,ANTKMT
chr16-1003700-1004487,ANTKMT
chr16-1151754-1153314,ANTKMT
chr16-228557-229595,ANTKMT
chr16-326982-327895,ANTKMT
chr16-424495-426805,ANTKMT
chr16-588359-590571,ANTKMT
chr16-720312-722236,ANTKMT
chr16-234201-235752,CIAO3
chr16-252223-253331,CIAO3
chr16-324486-325518,CIAO3
chr16-351896-354050,CIAO3
chr16-355039-355476,CIAO3
chr16-361821-362529,CIAO3
chr16-370287-371339,CIAO3
chr16-380900-382594,CIAO3
chr16-383294-383666,CIAO3
chr16-391630-392985,CIAO3
chr16-397129-397548,CIAO3
chr16-400376-402214,CIAO3
chr16-526749-528888,CIAO3
chr16-569320-570355,CIAO3
chr16-578603-579387,CIAO3
chr16-592711-593069,CIAO3
chr16-635654-637373,CIAO3
chr16-641454-642980,CIAO3
chr16-648065-649836,CIAO3
chr16-660138-661242,CIAO3
chr16-667486-669099,CIAO3
chr16-679330-680557,CIAO3
chr16-683846-684810,CIAO3
chr16-689854-690611,CIAO3
chr16-694385-696021,CIAO3
chr16-711579-712008,CIAO3
chr16-714500-715958,CIAO3
chr16-726599-728601,CIAO3
chr16-740189-741470,CIAO3
chr16-785437-785882,CIAO3
chr16-787705-788944,CIAO3
chr16-806815-808064,CIAO3
chr16-963579-965072,CIAO3
chr16-970018-971452,CIAO3
chr16-979934-982418,CIAO3
chr16-996521-998444,CIAO3
chr16-1003700-1004487,CIAO3
chr16-1151754-1153314,CIAO3
chr16-326982-327895,CIAO3
chr16-424495-426805,CIAO3
chr16-588359-590571,CIAO3
chr16-720312-722236,CIAO3
chr16-351896-354050,LMF1
chr16-355039-355476,LMF1
chr16-361821-362529,LMF1
chr16-370287-371339,LMF1
chr16-380900-382594,LMF1
chr16-383294-383666,LMF1
chr16-391630-392985,LMF1
chr16-397129-397548,LMF1
chr16-400376-402214,LMF1
chr16-526749-528888,LMF1
chr16-569320-570355,LMF1
chr16-578603-579387,LMF1
chr16-592711-593069,LMF1
chr16-635654-637373,LMF1
chr16-641454-642980,LMF1
chr16-648065-649836,LMF1
chr16-660138-661242,LMF1
chr16-667486-669099,LMF1
chr16-679330-680557,LMF1
chr16-683846-684810,LMF1
chr16-689854-690611,LMF1
chr16-694385-696021,LMF1
chr16-711579-712008,LMF1
chr16-714500-715958,LMF1
chr16-726599-728601,LMF1
chr16-740189-741470,LMF1
chr16-785437-785882,LMF1
chr16-787705-788944,LMF1
chr16-806815-808064,LMF1
chr16-963579-965072,LMF1
chr16-970018-971452,LMF1
chr16-979934-982418,LMF1
chr16-996521-998444,LMF1
chr16-1003700-1004487,LMF1
chr16-1151754-1153314,LMF1
chr16-1300661-1301296,LMF1
chr16-1304113-1304604,LMF1
chr16-1308520-1310251,LMF1
chr16-1331672-1332269,LMF1
chr16-1333227-1333731,LMF1
chr16-1351227-1352297,LMF1
chr16-1363396-1363786,LMF1
chr16-1378762-1379919,LMF1
chr16-1407647-1408771,LMF1
chr16-1413513-1415108,LMF1
chr16-1420084-1421438,LMF1
chr16-1428219-1428980,LMF1
chr16-1432017-1433027,LMF1
chr16-1444325-1446066,LMF1
chr16-1469518-1470167,LMF1
chr16-1470645-1471199,LMF1
chr16-1480199-1480817,LMF1
chr16-424495-426805,LMF1
chr16-588359-590571,LMF1
chr16-720312-722236,LMF1
chr16-1342345-1343536,LMF1
chr16-1474418-1475596,LMF1
chr16-963579-965072,UBE2I
chr16-970018-971452,UBE2I
chr16-979934-982418,UBE2I
chr16-996521-998444,UBE2I
chr16-1003700-1004487,UBE2I
chr16-1151754-1153314,UBE2I
chr16-1300661-1301296,UBE2I
chr16-1304113-1304604,UBE2I
chr16-1308520-1310251,UBE2I
chr16-1331672-1332269,UBE2I
chr16-1333227-1333731,UBE2I
chr16-1351227-1352297,UBE2I
chr16-1363396-1363786,UBE2I
chr16-1378762-1379919,UBE2I
chr16-1407647-1408771,UBE2I
chr16-1413513-1415108,UBE2I
chr16-1420084-1421438,UBE2I
chr16-1428219-1428980,UBE2I
chr16-1432017-1433027,UBE2I
chr16-1444325-1446066,UBE2I
chr16-1469518-1470167,UBE2I
chr16-1470645-1471199,UBE2I
chr16-1480199-1480817,UBE2I
chr16-1492555-1494022,UBE2I
chr16-1525458-1527373,UBE2I
chr16-1533183-1534347,UBE2I
chr16-1535377-1535960,UBE2I
chr16-1543088-1544097,UBE2I
chr16-1610052-1611157,UBE2I
chr16-1611598-1612706,UBE2I
chr16-1613928-1614704,UBE2I
chr16-1677303-1678984,UBE2I
chr16-1705191-1707143,UBE2I
chr16-1721872-1722559,UBE2I
chr16-1770531-1771839,UBE2I
chr16-1772354-1774082,UBE2I
chr16-1781648-1783448,UBE2I
chr16-1825618-1827567,UBE2I
chr16-1342345-1343536,UBE2I
chr16-1474418-1475596,UBE2I
chr16-963579-965072,TSR3
chr16-970018-971452,TSR3
chr16-979934-982418,TSR3
chr16-996521-998444,TSR3
chr16-1003700-1004487,TSR3
chr16-1151754-1153314,TSR3
chr16-1300661-1301296,TSR3
chr16-1304113-1304604,TSR3
chr16-1308520-1310251,TSR3
chr16-1331672-1332269,TSR3
chr16-1333227-1333731,TSR3
chr16-1351227-1352297,TSR3
chr16-1363396-1363786,TSR3
chr16-1378762-1379919,TSR3
chr16-1407647-1408771,TSR3
chr16-1413513-1415108,TSR3
chr16-1420084-1421438,TSR3
chr16-1428219-1428980,TSR3
chr16-1432017-1433027,TSR3
chr16-1444325-1446066,TSR3
chr16-1469518-1470167,TSR3
chr16-1470645-1471199,TSR3
chr16-1480199-1480817,TSR3
chr16-1492555-1494022,TSR3
chr16-1525458-1527373,TSR3
chr16-1533183-1534347,TSR3
chr16-1535377-1535960,TSR3
chr16-1543088-1544097,TSR3
chr16-1610052-1611157,TSR3
chr16-1611598-1612706,TSR3
chr16-1613928-1614704,TSR3
chr16-1677303-1678984,TSR3
chr16-1705191-1707143,TSR3
chr16-1721872-1722559,TSR3
chr16-1770531-1771839,TSR3
chr16-1772354-1774082,TSR3
chr16-1781648-1783448,TSR3
chr16-1825618-1827567,TSR3
chr16-1342345-1343536,TSR3
chr16-1474418-1475596,TSR3
chr16-963579-965072,GNPTG
chr16-970018-971452,GNPTG
chr16-979934-982418,GNPTG
chr16-996521-998444,GNPTG
chr16-1003700-1004487,GNPTG
chr16-1151754-1153314,GNPTG
chr16-1300661-1301296,GNPTG
chr16-1304113-1304604,GNPTG
chr16-1308520-1310251,GNPTG
chr16-1331672-1332269,GNPTG
chr16-1333227-1333731,GNPTG
chr16-1351227-1352297,GNPTG
chr16-1363396-1363786,GNPTG
chr16-1378762-1379919,GNPTG
chr16-1407647-1408771,GNPTG
chr16-1413513-1415108,GNPTG
chr16-1420084-1421438,GNPTG
chr16-1428219-1428980,GNPTG
chr16-1432017-1433027,GNPTG
chr16-1444325-1446066,GNPTG
chr16-1469518-1470167,GNPTG
chr16-1470645-1471199,GNPTG
chr16-1480199-1480817,GNPTG
chr16-1492555-1494022,GNPTG
chr16-1525458-1527373,GNPTG
chr16-1533183-1534347,GNPTG
chr16-1535377-1535960,GNPTG
chr16-1543088-1544097,GNPTG
chr16-1610052-1611157,GNPTG
chr16-1611598-1612706,GNPTG
chr16-1613928-1614704,GNPTG
chr16-1677303-1678984,GNPTG
chr16-1705191-1707143,GNPTG
chr16-1721872-1722559,GNPTG
chr16-1770531-1771839,GNPTG
chr16-1772354-1774082,GNPTG
chr16-1781648-1783448,GNPTG
chr16-1825618-1827567,GNPTG
chr16-1854448-1855887,GNPTG
chr16-1342345-1343536,GNPTG
chr16-1474418-1475596,GNPTG
chr16-963579-965072,UNKL
chr16-970018-971452,UNKL
chr16-979934-982418,UNKL
chr16-996521-998444,UNKL
chr16-1003700-1004487,UNKL
chr16-1151754-1153314,UNKL
chr16-1300661-1301296,UNKL
chr16-1304113-1304604,UNKL
chr16-1308520-1310251,UNKL
chr16-1331672-1332269,UNKL
chr16-1333227-1333731,UNKL
chr16-1351227-1352297,UNKL
chr16-1363396-1363786,UNKL
chr16-1378762-1379919,UNKL
chr16-1407647-1408771,UNKL
chr16-1413513-1415108,UNKL
chr16-1420084-1421438,UNKL
chr16-1428219-1428980,UNKL
chr16-1432017-1433027,UNKL
chr16-1444325-1446066,UNKL
chr16-1469518-1470167,UNKL
chr16-1470645-1471199,UNKL
chr16-1480199-1480817,UNKL
chr16-1492555-1494022,UNKL
chr16-1525458-1527373,UNKL
chr16-1533183-1534347,UNKL
chr16-1535377-1535960,UNKL
chr16-1543088-1544097,UNKL
chr16-1610052-1611157,UNKL
chr16-1611598-1612706,UNKL
chr16-1613928-1614704,UNKL
chr16-1677303-1678984,UNKL
chr16-1705191-1707143,UNKL
chr16-1721872-1722559,UNKL
chr16-1770531-1771839,UNKL
chr16-1772354-1774082,UNKL
chr16-1781648-1783448,UNKL
chr16-1825618-1827567,UNKL
chr16-1854448-1855887,UNKL
chr16-1342345-1343536,UNKL
chr16-1474418-1475596,UNKL
chr16-963579-965072,CLCN7
chr16-970018-971452,CLCN7
chr16-979934-982418,CLCN7
chr16-996521-998444,CLCN7
chr16-1003700-1004487,CLCN7
chr16-1151754-1153314,CLCN7
chr16-1300661-1301296,CLCN7
chr16-1304113-1304604,CLCN7
chr16-1308520-1310251,CLCN7
chr16-1331672-1332269,CLCN7
chr16-1333227-1333731,CLCN7
chr16-1351227-1352297,CLCN7
chr16-1363396-1363786,CLCN7
chr16-1378762-1379919,CLCN7
chr16-1407647-1408771,CLCN7
chr16-1413513-1415108,CLCN7
chr16-1420084-1421438,CLCN7
chr16-1428219-1428980,CLCN7
chr16-1432017-1433027,CLCN7
chr16-1444325-1446066,CLCN7
chr16-1469518-1470167,CLCN7
chr16-1470645-1471199,CLCN7
chr16-1480199-1480817,CLCN7
chr16-1492555-1494022,CLCN7
chr16-1525458-1527373,CLCN7
chr16-1533183-1534347,CLCN7
chr16-1535377-1535960,CLCN7
chr16-1543088-1544097,CLCN7
chr16-1610052-1611157,CLCN7
chr16-1611598-1612706,CLCN7
chr16-1613928-1614704,CLCN7
chr16-1677303-1678984,CLCN7
chr16-1705191-1707143,CLCN7
chr16-1721872-1722559,CLCN7
chr16-1770531-1771839,CLCN7
chr16-1772354-1774082,CLCN7
chr16-1781648-1783448,CLCN7
chr16-1825618-1827567,CLCN7
chr16-1854448-1855887,CLCN7
chr16-1929089-1930339,CLCN7
chr16-1938154-1938687,CLCN7
chr16-1941717-1943685,CLCN7
chr16-1958758-1959823,CLCN7
chr16-1963917-1965602,CLCN7
chr16-1971350-1972706,CLCN7
chr16-1342345-1343536,CLCN7
chr16-1474418-1475596,CLCN7
chr16-996521-998444,TELO2
chr16-1003700-1004487,TELO2
chr16-1151754-1153314,TELO2
chr16-1300661-1301296,TELO2
chr16-1304113-1304604,TELO2
chr16-1308520-1310251,TELO2
chr16-1331672-1332269,TELO2
chr16-1333227-1333731,TELO2
chr16-1351227-1352297,TELO2
chr16-1363396-1363786,TELO2
chr16-1378762-1379919,TELO2
chr16-1407647-1408771,TELO2
chr16-1413513-1415108,TELO2
chr16-1420084-1421438,TELO2
chr16-1428219-1428980,TELO2
chr16-1432017-1433027,TELO2
chr16-1444325-1446066,TELO2
chr16-1469518-1470167,TELO2
chr16-1470645-1471199,TELO2
chr16-1480199-1480817,TELO2
chr16-1492555-1494022,TELO2
chr16-1525458-1527373,TELO2
chr16-1533183-1534347,TELO2
chr16-1535377-1535960,TELO2
chr16-1543088-1544097,TELO2
chr16-1610052-1611157,TELO2
chr16-1611598-1612706,TELO2
chr16-1613928-1614704,TELO2
chr16-1677303-1678984,TELO2
chr16-1705191-1707143,TELO2
chr16-1721872-1722559,TELO2
chr16-1770531-1771839,TELO2
chr16-1772354-1774082,TELO2
chr16-1781648-1783448,TELO2
chr16-1825618-1827567,TELO2
chr16-1854448-1855887,TELO2
chr16-1929089-1930339,TELO2
chr16-1938154-1938687,TELO2
chr16-1941717-1943685,TELO2
chr16-1958758-1959823,TELO2
chr16-1963917-1965602,TELO2
chr16-1971350-1972706,TELO2
chr16-1983402-1984536,TELO2
chr16-1989879-1991570,TELO2
chr16-1991771-1992781,TELO2
chr16-2003694-2004150,TELO2
chr16-2008684-2010521,TELO2
chr16-1342345-1343536,TELO2
chr16-1474418-1475596,TELO2
chr16-1151754-1153314,IFT140
chr16-1300661-1301296,IFT140
chr16-1304113-1304604,IFT140
chr16-1308520-1310251,IFT140
chr16-1331672-1332269,IFT140
chr16-1333227-1333731,IFT140
chr16-1351227-1352297,IFT140
chr16-1363396-1363786,IFT140
chr16-1378762-1379919,IFT140
chr16-1407647-1408771,IFT140
chr16-1413513-1415108,IFT140
chr16-1420084-1421438,IFT140
chr16-1428219-1428980,IFT140
chr16-1432017-1433027,IFT140
chr16-1444325-1446066,IFT140
chr16-1469518-1470167,IFT140
chr16-1470645-1471199,IFT140
chr16-1480199-1480817,IFT140
chr16-1492555-1494022,IFT140
chr16-1525458-1527373,IFT140
chr16-1533183-1534347,IFT140
chr16-1535377-1535960,IFT140
chr16-1543088-1544097,IFT140
chr16-1610052-1611157,IFT140
chr16-1611598-1612706,IFT140
chr16-1613928-1614704,IFT140
chr16-1677303-1678984,IFT140
chr16-1705191-1707143,IFT140
chr16-1721872-1722559,IFT140
chr16-1770531-1771839,IFT140
chr16-1772354-1774082,IFT140
chr16-1781648-1783448,IFT140
chr16-1825618-1827567,IFT140
chr16-1854448-1855887,IFT140
chr16-1929089-1930339,IFT140
chr16-1938154-1938687,IFT140
chr16-1941717-1943685,IFT140
chr16-1958758-1959823,IFT140
chr16-1963917-1965602,IFT140
chr16-1971350-1972706,IFT140
chr16-1983402-1984536,IFT140
chr16-1989879-1991570,IFT140
chr16-1991771-1992781,IFT140
chr16-2003694-2004150,IFT140
chr16-2008684-2010521,IFT140
chr16-2022723-2023676,IFT140
chr16-2026573-2027431,IFT140
chr16-2032682-2033882,IFT140
chr16-1342345-1343536,IFT140
chr16-1474418-1475596,IFT140
chr16-2046994-2048435,IFT140
chr16-1151754-1153314,TMEM204
chr16-1300661-1301296,TMEM204
chr16-1304113-1304604,TMEM204
chr16-1308520-1310251,TMEM204
chr16-1331672-1332269,TMEM204
chr16-1333227-1333731,TMEM204
chr16-1351227-1352297,TMEM204
chr16-1363396-1363786,TMEM204
chr16-1378762-1379919,TMEM204
chr16-1407647-1408771,TMEM204
chr16-1413513-1415108,TMEM204
chr16-1420084-1421438,TMEM204
chr16-1428219-1428980,TMEM204
chr16-1432017-1433027,TMEM204
chr16-1444325-1446066,TMEM204
chr16-1469518-1470167,TMEM204
chr16-1470645-1471199,TMEM204
chr16-1480199-1480817,TMEM204
chr16-1492555-1494022,TMEM204
chr16-1525458-1527373,TMEM204
chr16-1533183-1534347,TMEM204
chr16-1535377-1535960,TMEM204
chr16-1543088-1544097,TMEM204
chr16-1610052-1611157,TMEM204
chr16-1611598-1612706,TMEM204
chr16-1613928-1614704,TMEM204
chr16-1677303-1678984,TMEM204
chr16-1705191-1707143,TMEM204
chr16-1721872-1722559,TMEM204
chr16-1770531-1771839,TMEM204
chr16-1772354-1774082,TMEM204
chr16-1781648-1783448,TMEM204
chr16-1825618-1827567,TMEM204
chr16-1854448-1855887,TMEM204
chr16-1929089-1930339,TMEM204
chr16-1938154-1938687,TMEM204
chr16-1941717-1943685,TMEM204
chr16-1958758-1959823,TMEM204
chr16-1963917-1965602,TMEM204
chr16-1971350-1972706,TMEM204
chr16-1983402-1984536,TMEM204
chr16-1989879-1991570,TMEM204
chr16-1991771-1992781,TMEM204
chr16-2003694-2004150,TMEM204
chr16-2008684-2010521,TMEM204
chr16-2022723-2023676,TMEM204
chr16-2026573-2027431,TMEM204
chr16-2032682-2033882,TMEM204
chr16-1342345-1343536,TMEM204
chr16-1474418-1475596,TMEM204
chr16-2046994-2048435,TMEM204
chr16-1151754-1153314,CRAMP1
chr16-1300661-1301296,CRAMP1
chr16-1304113-1304604,CRAMP1
chr16-1308520-1310251,CRAMP1
chr16-1331672-1332269,CRAMP1
chr16-1333227-1333731,CRAMP1
chr16-1351227-1352297,CRAMP1
chr16-1363396-1363786,CRAMP1
chr16-1378762-1379919,CRAMP1
chr16-1407647-1408771,CRAMP1
chr16-1413513-1415108,CRAMP1
chr16-1420084-1421438,CRAMP1
chr16-1428219-1428980,CRAMP1
chr16-1432017-1433027,CRAMP1
chr16-1444325-1446066,CRAMP1
chr16-1469518-1470167,CRAMP1
chr16-1470645-1471199,CRAMP1
chr16-1480199-1480817,CRAMP1
chr16-1492555-1494022,CRAMP1
chr16-1525458-1527373,CRAMP1
chr16-1533183-1534347,CRAMP1
