peak,gene
chr9-113875700-113876801,POLE3
chr9-113409861-113411534,POLE3
chr9-113523054-113524787,POLE3
chr9-113376235-113377508,POLE3
chr9-113056145-113057112,RGS3
chr9-113125025-113125916,RGS3
chr9-113150627-113152224,RGS3
chr9-113155878-113156274,RGS3
chr9-113187521-113188697,RGS3
chr9-113220531-113222317,RGS3
chr9-113232506-113233583,RGS3
chr9-113274288-113276194,RGS3
chr9-113339694-113340553,RGS3
chr9-113349185-113351322,RGS3
chr9-113400628-113401661,RGS3
chr9-113406899-113407168,RGS3
chr9-113511749-113512763,RGS3
chr9-113516916-113517679,RGS3
chr9-113578597-113579768,RGS3
chr9-113580433-113581119,RGS3
chr9-113581634-113582225,RGS3
chr9-113657631-113658296,RGS3
chr9-113875700-113876801,RGS3
chr9-113409861-113411534,RGS3
chr9-113523054-113524787,RGS3
chr9-113376235-113377508,RGS3
chr9-113400628-113401661,ZNF618
chr9-113406899-113407168,ZNF618
chr9-113511749-113512763,ZNF618
chr9-113516916-113517679,ZNF618
chr9-113578597-113579768,ZNF618
chr9-113580433-113581119,ZNF618
chr9-113581634-113582225,ZNF618
chr9-113657631-113658296,ZNF618
chr9-113875700-113876801,ZNF618
chr9-114340184-114340735,ZNF618
chr9-114348368-114349326,ZNF618
chr9-114364159-114364893,ZNF618
chr9-114366303-114367043,ZNF618
chr9-114369446-114369989,ZNF618
chr9-114371768-114373486,ZNF618
chr9-114382977-114383294,ZNF618
chr9-114385152-114386117,ZNF618
chr9-114386963-114387384,ZNF618
chr9-114387751-114388220,ZNF618
chr9-114397397-114398765,ZNF618
chr9-114405394-114405956,ZNF618
chr9-114452139-114453127,ZNF618
chr9-114487318-114487926,ZNF618
chr9-114504164-114505825,ZNF618
chr9-113409861-113411534,ZNF618
chr9-113523054-113524787,ZNF618
chr9-113376235-113377508,ZNF618
chr9-113875700-113876801,AKNA
chr9-114340184-114340735,AKNA
chr9-114348368-114349326,AKNA
chr9-114364159-114364893,AKNA
chr9-114366303-114367043,AKNA
chr9-114369446-114369989,AKNA
chr9-114371768-114373486,AKNA
chr9-114382977-114383294,AKNA
chr9-114385152-114386117,AKNA
chr9-114386963-114387384,AKNA
chr9-114387751-114388220,AKNA
chr9-114397397-114398765,AKNA
chr9-114405394-114405956,AKNA
chr9-114452139-114453127,AKNA
chr9-114487318-114487926,AKNA
chr9-114504164-114505825,AKNA
chr9-114587034-114588566,AKNA
chr9-114592052-114592749,AKNA
chr9-114610889-114612521,AKNA
chr9-114616700-114617405,AKNA
chr9-114619059-114619771,AKNA
chr9-114653268-114653886,AKNA
chr9-114681540-114682366,AKNA
chr9-114718454-114719423,AKNA
chr9-114738315-114739225,AKNA
chr9-114805622-114806777,AKNA
chr9-114556919-114557510,AKNA
chr9-114340184-114340735,ATP6V1G1
chr9-114348368-114349326,ATP6V1G1
chr9-114364159-114364893,ATP6V1G1
chr9-114366303-114367043,ATP6V1G1
chr9-114369446-114369989,ATP6V1G1
chr9-114371768-114373486,ATP6V1G1
chr9-114382977-114383294,ATP6V1G1
chr9-114385152-114386117,ATP6V1G1
chr9-114386963-114387384,ATP6V1G1
chr9-114387751-114388220,ATP6V1G1
chr9-114397397-114398765,ATP6V1G1
chr9-114405394-114405956,ATP6V1G1
chr9-114452139-114453127,ATP6V1G1
chr9-114487318-114487926,ATP6V1G1
chr9-114504164-114505825,ATP6V1G1
chr9-114587034-114588566,ATP6V1G1
chr9-114592052-114592749,ATP6V1G1
chr9-114610889-114612521,ATP6V1G1
chr9-114616700-114617405,ATP6V1G1
chr9-114619059-114619771,ATP6V1G1
chr9-114653268-114653886,ATP6V1G1
chr9-114681540-114682366,ATP6V1G1
chr9-114718454-114719423,ATP6V1G1
chr9-114738315-114739225,ATP6V1G1
chr9-114805622-114806777,ATP6V1G1
chr9-114898456-114899132,ATP6V1G1
chr9-114928938-114929758,ATP6V1G1
chr9-114929955-114930862,ATP6V1G1
chr9-114953536-114954290,ATP6V1G1
chr9-114957746-114959015,ATP6V1G1
chr9-114968076-114969283,ATP6V1G1
chr9-114988816-114990298,ATP6V1G1
chr9-114995480-114996315,ATP6V1G1
chr9-115013680-115014296,ATP6V1G1
chr9-114556919-114557510,ATP6V1G1
chr9-114340184-114340735,TMEM268
chr9-114348368-114349326,TMEM268
chr9-114364159-114364893,TMEM268
chr9-114366303-114367043,TMEM268
chr9-114369446-114369989,TMEM268
chr9-114371768-114373486,TMEM268
chr9-114382977-114383294,TMEM268
chr9-114385152-114386117,TMEM268
chr9-114386963-114387384,TMEM268
chr9-114387751-114388220,TMEM268
chr9-114397397-114398765,TMEM268
chr9-114405394-114405956,TMEM268
chr9-114452139-114453127,TMEM268
chr9-114487318-114487926,TMEM268
chr9-114504164-114505825,TMEM268
chr9-114587034-114588566,TMEM268
chr9-114592052-114592749,TMEM268
chr9-114610889-114612521,TMEM268
chr9-114616700-114617405,TMEM268
chr9-114619059-114619771,TMEM268
chr9-114653268-114653886,TMEM268
chr9-114681540-114682366,TMEM268
chr9-114718454-114719423,TMEM268
chr9-114738315-114739225,TMEM268
chr9-114805622-114806777,TMEM268
chr9-114898456-114899132,TMEM268
chr9-114928938-114929758,TMEM268
chr9-114929955-114930862,TMEM268
chr9-114953536-114954290,TMEM268
chr9-114957746-114959015,TMEM268
chr9-114968076-114969283,TMEM268
chr9-114988816-114990298,TMEM268
chr9-114995480-114996315,TMEM268
chr9-115013680-115014296,TMEM268
chr9-114556919-114557510,TMEM268
chr9-114397397-114398765,TNFSF8
chr9-114405394-114405956,TNFSF8
chr9-114452139-114453127,TNFSF8
chr9-114487318-114487926,TNFSF8
chr9-114504164-114505825,TNFSF8
chr9-114587034-114588566,TNFSF8
chr9-114592052-114592749,TNFSF8
chr9-114610889-114612521,TNFSF8
chr9-114616700-114617405,TNFSF8
chr9-114619059-114619771,TNFSF8
chr9-114653268-114653886,TNFSF8
chr9-114681540-114682366,TNFSF8
chr9-114718454-114719423,TNFSF8
chr9-114738315-114739225,TNFSF8
chr9-114805622-114806777,TNFSF8
chr9-114898456-114899132,TNFSF8
chr9-114928938-114929758,TNFSF8
chr9-114929955-114930862,TNFSF8
chr9-114953536-114954290,TNFSF8
chr9-114957746-114959015,TNFSF8
chr9-114968076-114969283,TNFSF8
