peak,gene
chr19-53866010-53866510,LILRA6
chr19-53867057-53868396,LILRA6
chr19-53868600-53869699,LILRA6
chr19-53877267-53877734,LILRA6
chr19-53878946-53879667,LILRA6
chr19-53881660-53882385,LILRA6
chr19-53889575-53890269,LILRA6
chr19-54020050-54020576,LILRA6
chr19-54023357-54024204,LILRA6
chr19-54047245-54048171,LILRA6
chr19-54095420-54096247,LILRA6
chr19-54100514-54100981,LILRA6
chr19-54102048-54103184,LILRA6
chr19-54114108-54115915,LILRA6
chr19-54136582-54138705,LILRA6
chr19-54158895-54160246,LILRA6
chr19-54162015-54162775,LILRA6
chr19-54164518-54164979,LILRA6
chr19-54168162-54168781,LILRA6
chr19-54189039-54191613,LILRA6
chr19-54200181-54201559,LILRA6
chr19-54207392-54208694,LILRA6
chr19-54209417-54210173,LILRA6
chr19-54210660-54211244,LILRA6
chr19-54222367-54223883,LILRA6
chr19-54231306-54232017,LILRA6
chr19-54247461-54248634,LILRA6
chr19-54270932-54272505,LILRA6
chr19-54280299-54281317,LILRA6
chr19-54302099-54302855,LILRA6
chr19-54316599-54317727,LILRA6
chr19-54318703-54319421,LILRA6
chr19-54339024-54340135,LILRA6
chr19-54364323-54365585,LILRA6
chr19-54370497-54370716,LILRA6
chr19-54372142-54372699,LILRA6
chr19-54373621-54374075,LILRA6
chr19-54375179-54375799,LILRA6
chr19-54387751-54389041,LILRA6
chr19-54448140-54449857,LILRA6
chr19-54451281-54451574,LILRA6
chr19-54462721-54465255,LILRA6
chr19-54551000-54552263,LILRA6
chr19-54572087-54573935,LILRA6
chr19-54593203-54594323,LILRA6
chr19-54606031-54607451,LILRA6
chr19-54629888-54631079,LILRA6
chr19-54642713-54644433,LILRA6
chr19-54660256-54661294,LILRA6
chr19-54662174-54663105,LILRA6
chr19-54311996-54313298,LILRA6
chr19-54345552-54346347,LILRA6
chr19-54361573-54362624,LILRA6
chr19-54377955-54378720,LILRA6
chr19-53792779-53793378,LILRB2
chr19-53823640-53824805,LILRB2
chr19-53829753-53830402,LILRB2
chr19-53841932-53842503,LILRB2
chr19-53844849-53845166,LILRB2
chr19-53849105-53849600,LILRB2
chr19-53851450-53852150,LILRB2
chr19-53852746-53853218,LILRB2
chr19-53866010-53866510,LILRB2
chr19-53867057-53868396,LILRB2
chr19-53868600-53869699,LILRB2
chr19-53877267-53877734,LILRB2
chr19-53878946-53879667,LILRB2
chr19-53881660-53882385,LILRB2
chr19-53889575-53890269,LILRB2
chr19-54020050-54020576,LILRB2
chr19-54023357-54024204,LILRB2
chr19-54047245-54048171,LILRB2
chr19-54095420-54096247,LILRB2
chr19-54100514-54100981,LILRB2
chr19-54102048-54103184,LILRB2
chr19-54114108-54115915,LILRB2
chr19-54136582-54138705,LILRB2
chr19-54158895-54160246,LILRB2
chr19-54162015-54162775,LILRB2
chr19-54164518-54164979,LILRB2
chr19-54168162-54168781,LILRB2
chr19-54189039-54191613,LILRB2
chr19-54200181-54201559,LILRB2
chr19-54207392-54208694,LILRB2
chr19-54209417-54210173,LILRB2
chr19-54210660-54211244,LILRB2
chr19-54222367-54223883,LILRB2
chr19-54231306-54232017,LILRB2
chr19-54247461-54248634,LILRB2
chr19-54270932-54272505,LILRB2
chr19-54280299-54281317,LILRB2
chr19-54302099-54302855,LILRB2
chr19-54316599-54317727,LILRB2
chr19-54318703-54319421,LILRB2
chr19-54339024-54340135,LILRB2
chr19-54364323-54365585,LILRB2
chr19-54370497-54370716,LILRB2
chr19-54372142-54372699,LILRB2
chr19-54373621-54374075,LILRB2
chr19-54375179-54375799,LILRB2
chr19-54387751-54389041,LILRB2
chr19-54448140-54449857,LILRB2
chr19-54451281-54451574,LILRB2
chr19-54462721-54465255,LILRB2
chr19-54551000-54552263,LILRB2
chr19-54572087-54573935,LILRB2
chr19-54593203-54594323,LILRB2
chr19-54606031-54607451,LILRB2
chr19-54629888-54631079,LILRB2
chr19-54642713-54644433,LILRB2
chr19-54660256-54661294,LILRB2
chr19-54662174-54663105,LILRB2
chr19-54747304-54748207,LILRB2
chr19-54311996-54313298,LILRB2
chr19-54345552-54346347,LILRB2
chr19-54361573-54362624,LILRB2
chr19-54377955-54378720,LILRB2
chr19-53823640-53824805,LILRA5
chr19-53829753-53830402,LILRA5
chr19-53841932-53842503,LILRA5
chr19-53844849-53845166,LILRA5
chr19-53849105-53849600,LILRA5
chr19-53851450-53852150,LILRA5
chr19-53852746-53853218,LILRA5
chr19-53866010-53866510,LILRA5
chr19-53867057-53868396,LILRA5
chr19-53868600-53869699,LILRA5
chr19-53877267-53877734,LILRA5
chr19-53878946-53879667,LILRA5
chr19-53881660-53882385,LILRA5
chr19-53889575-53890269,LILRA5
chr19-54020050-54020576,LILRA5
chr19-54023357-54024204,LILRA5
chr19-54047245-54048171,LILRA5
chr19-54095420-54096247,LILRA5
chr19-54100514-54100981,LILRA5
chr19-54102048-54103184,LILRA5
chr19-54114108-54115915,LILRA5
chr19-54136582-54138705,LILRA5
