peak,gene
chr10-32332144-32332697,ARHGAP12
chr10-32345920-32347710,ARHGAP12
chr10-32356985-32357676,ARHGAP12
chr10-32367674-32368123,ARHGAP12
chr10-32377425-32379872,ARHGAP12
chr10-31603152-31603928,KIF5B
chr10-31706837-31708039,KIF5B
chr10-31751079-31751760,KIF5B
chr10-31759097-31760762,KIF5B
chr10-31927506-31930616,KIF5B
chr10-31948960-31949716,KIF5B
chr10-31977192-31978191,KIF5B
chr10-32055311-32056849,KIF5B
chr10-32318316-32318987,KIF5B
chr10-32332144-32332697,KIF5B
chr10-32345920-32347710,KIF5B
chr10-32356985-32357676,KIF5B
chr10-32367674-32368123,KIF5B
chr10-32377425-32379872,KIF5B
chr10-32445549-32447223,KIF5B
chr10-32459057-32459777,KIF5B
chr10-31927506-31930616,EPC1
chr10-31948960-31949716,EPC1
chr10-31977192-31978191,EPC1
chr10-32055311-32056849,EPC1
chr10-32318316-32318987,EPC1
chr10-32332144-32332697,EPC1
chr10-32345920-32347710,EPC1
chr10-32356985-32357676,EPC1
chr10-32367674-32368123,EPC1
chr10-32377425-32379872,EPC1
chr10-32445549-32447223,EPC1
chr10-32459057-32459777,EPC1
chr10-31948960-31949716,CCDC7
chr10-31977192-31978191,CCDC7
chr10-32055311-32056849,CCDC7
chr10-32318316-32318987,CCDC7
chr10-32332144-32332697,CCDC7
chr10-32345920-32347710,CCDC7
chr10-32356985-32357676,CCDC7
chr10-32367674-32368123,CCDC7
chr10-32377425-32379872,CCDC7
chr10-32445549-32447223,CCDC7
chr10-32459057-32459777,CCDC7
chr10-32957304-32958889,CCDC7
chr10-32961477-32962183,CCDC7
chr10-32985563-32986317,CCDC7
chr10-33004901-33005937,CCDC7
chr10-33109423-33110665,CCDC7
chr10-33117512-33118214,CCDC7
chr10-33126030-33127119,CCDC7
chr10-33134015-33134576,CCDC7
chr10-33138792-33139909,CCDC7
chr10-33248292-33249037,CCDC7
chr10-33333714-33335656,CCDC7
chr10-32980100-32981323,CCDC7
chr10-32445549-32447223,ITGB1
chr10-32459057-32459777,ITGB1
chr10-32957304-32958889,ITGB1
chr10-32961477-32962183,ITGB1
chr10-32985563-32986317,ITGB1
chr10-33004901-33005937,ITGB1
chr10-33109423-33110665,ITGB1
chr10-33117512-33118214,ITGB1
chr10-33126030-33127119,ITGB1
chr10-33134015-33134576,ITGB1
chr10-33138792-33139909,ITGB1
chr10-33248292-33249037,ITGB1
chr10-33333714-33335656,ITGB1
chr10-32980100-32981323,ITGB1
chr10-35089555-35090848,CUL2
chr10-35131873-35132375,CUL2
chr10-35135846-35136684,CUL2
chr10-35149077-35150014,CUL2
chr10-35194875-35196345,CUL2
chr10-35218093-35218779,CUL2
chr10-35335668-35337502,CUL2
chr10-35378530-35379739,CUL2
chr10-35451081-35451698,CUL2
chr10-35126190-35128429,CUL2
chr10-35089555-35090848,CREM
chr10-35131873-35132375,CREM
chr10-35135846-35136684,CREM
chr10-35149077-35150014,CREM
chr10-35194875-35196345,CREM
chr10-35218093-35218779,CREM
chr10-35335668-35337502,CREM
chr10-35378530-35379739,CREM
chr10-35451081-35451698,CREM
chr10-35640266-35642768,CREM
chr10-35126190-35128429,CREM
chr10-35089555-35090848,CCNY
chr10-35131873-35132375,CCNY
chr10-35135846-35136684,CCNY
chr10-35149077-35150014,CCNY
chr10-35194875-35196345,CCNY
chr10-35218093-35218779,CCNY
chr10-35335668-35337502,CCNY
chr10-35378530-35379739,CCNY
chr10-35451081-35451698,CCNY
chr10-35640266-35642768,CCNY
chr10-35126190-35128429,CCNY
chr10-37856748-37858401,ZNF248
chr10-37975256-37977135,ZNF248
chr10-38093526-38095332,ZNF248
chr10-38355649-38356570,ZNF248
chr10-38010087-38011274,ZNF248
chr10-37856748-37858401,ZNF33A
chr10-37975256-37977135,ZNF33A
chr10-38093526-38095332,ZNF33A
