peak,gene
chr19-6739431-6739790,ZNF557
chr19-6752915-6754208,ZNF557
chr19-6772141-6773957,ZNF557
chr19-6800915-6802792,ZNF557
chr19-6862322-6863865,ZNF557
chr19-6890110-6891223,ZNF557
chr19-6891816-6892326,ZNF557
chr19-6969819-6970777,ZNF557
chr19-7068708-7070132,ZNF557
chr19-7098548-7099763,ZNF557
chr19-7101938-7102589,ZNF557
chr19-7182956-7183666,ZNF557
chr19-7196912-7198644,ZNF557
chr19-7293279-7295145,ZNF557
chr19-7337140-7338161,ZNF557
chr19-7341019-7341372,ZNF557
chr19-7344879-7346084,ZNF557
chr19-7348476-7349301,ZNF557
chr19-7349795-7350526,ZNF557
chr19-7394498-7395633,ZNF557
chr19-7472889-7473334,ZNF557
chr19-7482747-7483544,ZNF557
chr19-7488580-7489251,ZNF557
chr19-7491925-7492679,ZNF557
chr19-7505405-7506828,ZNF557
chr19-7515605-7516885,ZNF557
chr19-7521881-7523462,ZNF557
chr19-7533727-7534336,ZNF557
chr19-7534605-7536286,ZNF557
chr19-7543217-7543933,ZNF557
chr19-7544303-7545562,ZNF557
chr19-7568089-7568718,ZNF557
chr19-6766548-6768365,ZNF557
chr19-7158932-7160016,ZNF557
chr19-7192042-7192623,ZNF557
chr19-6641352-6642237,INSR
chr19-6654151-6655314,INSR
chr19-6669289-6670401,INSR
chr19-6674665-6675382,INSR
chr19-6736292-6738074,INSR
chr19-6738318-6738732,INSR
chr19-6739431-6739790,INSR
chr19-6752915-6754208,INSR
chr19-6772141-6773957,INSR
chr19-6800915-6802792,INSR
chr19-6862322-6863865,INSR
chr19-6890110-6891223,INSR
chr19-6891816-6892326,INSR
chr19-6969819-6970777,INSR
chr19-7068708-7070132,INSR
chr19-7098548-7099763,INSR
chr19-7101938-7102589,INSR
chr19-7182956-7183666,INSR
chr19-7196912-7198644,INSR
chr19-7293279-7295145,INSR
chr19-7337140-7338161,INSR
chr19-7341019-7341372,INSR
chr19-7344879-7346084,INSR
chr19-7348476-7349301,INSR
chr19-7349795-7350526,INSR
chr19-7394498-7395633,INSR
chr19-7472889-7473334,INSR
chr19-7482747-7483544,INSR
chr19-7488580-7489251,INSR
chr19-7491925-7492679,INSR
chr19-7505405-7506828,INSR
chr19-7515605-7516885,INSR
chr19-7521881-7523462,INSR
chr19-7533727-7534336,INSR
chr19-7534605-7536286,INSR
chr19-7543217-7543933,INSR
chr19-7544303-7545562,INSR
chr19-7568089-7568718,INSR
chr19-7595329-7596974,INSR
chr19-7629059-7630097,INSR
chr19-7636563-7637904,INSR
chr19-7644910-7645913,INSR
chr19-7651752-7652529,INSR
chr19-7655397-7655974,INSR
chr19-7656890-7657770,INSR
chr19-7658018-7658695,INSR
chr19-7669772-7671068,INSR
chr19-7674123-7674663,INSR
chr19-7679323-7679701,INSR
chr19-7680435-7682091,INSR
chr19-7701654-7702254,INSR
chr19-7705177-7706194,INSR
chr19-7714415-7715174,INSR
chr19-7729077-7730970,INSR
chr19-7734090-7734642,INSR
chr19-7772334-7773222,INSR
chr19-7787894-7789829,INSR
chr19-6766548-6768365,INSR
chr19-7158932-7160016,INSR
chr19-7192042-7192623,INSR
chr19-6862322-6863865,ARHGEF18
chr19-6890110-6891223,ARHGEF18
chr19-6891816-6892326,ARHGEF18
chr19-6969819-6970777,ARHGEF18
chr19-7068708-7070132,ARHGEF18
chr19-7098548-7099763,ARHGEF18
chr19-7101938-7102589,ARHGEF18
chr19-7182956-7183666,ARHGEF18
chr19-7196912-7198644,ARHGEF18
chr19-7293279-7295145,ARHGEF18
chr19-7337140-7338161,ARHGEF18
chr19-7341019-7341372,ARHGEF18
chr19-7344879-7346084,ARHGEF18
chr19-7348476-7349301,ARHGEF18
chr19-7349795-7350526,ARHGEF18
chr19-7394498-7395633,ARHGEF18
chr19-7472889-7473334,ARHGEF18
chr19-7482747-7483544,ARHGEF18
chr19-7488580-7489251,ARHGEF18
chr19-7491925-7492679,ARHGEF18
chr19-7505405-7506828,ARHGEF18
chr19-7515605-7516885,ARHGEF18
chr19-7521881-7523462,ARHGEF18
chr19-7533727-7534336,ARHGEF18
chr19-7534605-7536286,ARHGEF18
chr19-7543217-7543933,ARHGEF18
chr19-7544303-7545562,ARHGEF18
chr19-7568089-7568718,ARHGEF18
chr19-7595329-7596974,ARHGEF18
chr19-7629059-7630097,ARHGEF18
chr19-7636563-7637904,ARHGEF18
chr19-7644910-7645913,ARHGEF18
chr19-7651752-7652529,ARHGEF18
chr19-7655397-7655974,ARHGEF18
chr19-7656890-7657770,ARHGEF18
chr19-7658018-7658695,ARHGEF18
chr19-7669772-7671068,ARHGEF18
chr19-7674123-7674663,ARHGEF18
chr19-7679323-7679701,ARHGEF18
chr19-7680435-7682091,ARHGEF18
chr19-7701654-7702254,ARHGEF18
chr19-7705177-7706194,ARHGEF18
chr19-7714415-7715174,ARHGEF18
chr19-7729077-7730970,ARHGEF18
chr19-7734090-7734642,ARHGEF18
chr19-7772334-7773222,ARHGEF18
chr19-7787894-7789829,ARHGEF18
chr19-7799428-7800329,ARHGEF18
chr19-7807079-7807996,ARHGEF18
chr19-7829059-7830535,ARHGEF18
chr19-7852908-7853592,ARHGEF18
chr19-7862121-7863248,ARHGEF18
chr19-7868448-7870099,ARHGEF18
chr19-7871995-7872359,ARHGEF18
chr19-7902809-7904634,ARHGEF18
chr19-7916470-7917000,ARHGEF18
chr19-7917398-7918079,ARHGEF18
chr19-7920064-7921231,ARHGEF18
chr19-7925173-7926352,ARHGEF18
chr19-7929250-7929665,ARHGEF18
chr19-7943011-7944527,ARHGEF18
chr19-7158932-7160016,ARHGEF18
chr19-7192042-7192623,ARHGEF18
chr19-7068708-7070132,MCOLN1
chr19-7098548-7099763,MCOLN1
chr19-7101938-7102589,MCOLN1
chr19-7182956-7183666,MCOLN1
chr19-7196912-7198644,MCOLN1
chr19-7293279-7295145,MCOLN1
chr19-7337140-7338161,MCOLN1
chr19-7341019-7341372,MCOLN1
chr19-7344879-7346084,MCOLN1
chr19-7348476-7349301,MCOLN1
chr19-7349795-7350526,MCOLN1
chr19-7394498-7395633,MCOLN1
chr19-7472889-7473334,MCOLN1
chr19-7482747-7483544,MCOLN1
chr19-7488580-7489251,MCOLN1
chr19-7491925-7492679,MCOLN1
chr19-7505405-7506828,MCOLN1
chr19-7515605-7516885,MCOLN1
chr19-7521881-7523462,MCOLN1
chr19-7533727-7534336,MCOLN1
chr19-7534605-7536286,MCOLN1
chr19-7543217-7543933,MCOLN1
chr19-7544303-7545562,MCOLN1
chr19-7568089-7568718,MCOLN1
chr19-7595329-7596974,MCOLN1
chr19-7629059-7630097,MCOLN1
chr19-7636563-7637904,MCOLN1
chr19-7644910-7645913,MCOLN1
chr19-7651752-7652529,MCOLN1
chr19-7655397-7655974,MCOLN1
chr19-7656890-7657770,MCOLN1
chr19-7658018-7658695,MCOLN1
chr19-7669772-7671068,MCOLN1
chr19-7674123-7674663,MCOLN1
chr19-7679323-7679701,MCOLN1
chr19-7680435-7682091,MCOLN1
chr19-7701654-7702254,MCOLN1
chr19-7705177-7706194,MCOLN1
chr19-7714415-7715174,MCOLN1
chr19-7729077-7730970,MCOLN1
chr19-7734090-7734642,MCOLN1
chr19-7772334-7773222,MCOLN1
chr19-7787894-7789829,MCOLN1
chr19-7799428-7800329,MCOLN1
chr19-7807079-7807996,MCOLN1
chr19-7829059-7830535,MCOLN1
chr19-7852908-7853592,MCOLN1
chr19-7862121-7863248,MCOLN1
chr19-7868448-7870099,MCOLN1
chr19-7871995-7872359,MCOLN1
chr19-7902809-7904634,MCOLN1
chr19-7916470-7917000,MCOLN1
chr19-7917398-7918079,MCOLN1
chr19-7920064-7921231,MCOLN1
chr19-7925173-7926352,MCOLN1
chr19-7929250-7929665,MCOLN1
chr19-7943011-7944527,MCOLN1
chr19-8002018-8002659,MCOLN1
chr19-8004626-8006151,MCOLN1
chr19-7158932-7160016,MCOLN1
chr19-7192042-7192623,MCOLN1
chr19-7068708-7070132,PNPLA6
chr19-7098548-7099763,PNPLA6
chr19-7101938-7102589,PNPLA6
chr19-7182956-7183666,PNPLA6
chr19-7196912-7198644,PNPLA6
chr19-7293279-7295145,PNPLA6
chr19-7337140-7338161,PNPLA6
chr19-7341019-7341372,PNPLA6
chr19-7344879-7346084,PNPLA6
chr19-7348476-7349301,PNPLA6
chr19-7349795-7350526,PNPLA6
chr19-7394498-7395633,PNPLA6
