peak,gene
chr16-31458041-31460171,ZNF267
chr16-31471846-31473120,ZNF267
chr16-31476151-31477775,ZNF267
chr16-31487160-31489009,ZNF267
chr16-31507542-31508783,ZNF267
chr16-31695315-31696318,ZNF267
chr16-31700171-31701476,ZNF267
chr16-31712794-31713845,ZNF267
chr16-31868424-31870220,ZNF267
chr16-31873343-31874821,ZNF267
chr16-31877340-31877769,ZNF267
chr16-46620265-46622190,VPS35
chr16-46658627-46659353,VPS35
chr16-46688179-46690279,VPS35
chr16-46789283-46790384,VPS35
chr16-46829932-46831702,VPS35
chr16-46883479-46885181,VPS35
chr16-46961197-46962052,VPS35
chr16-47016334-47017119,VPS35
chr16-47018174-47018839,VPS35
chr16-47141739-47142053,VPS35
chr16-47142526-47144611,VPS35
chr16-46742631-46743776,VPS35
chr16-46972310-46974143,VPS35
chr16-47037237-47038492,VPS35
chr16-46620265-46622190,C16orf87
chr16-46658627-46659353,C16orf87
chr16-46688179-46690279,C16orf87
chr16-46789283-46790384,C16orf87
chr16-46829932-46831702,C16orf87
chr16-46883479-46885181,C16orf87
chr16-46961197-46962052,C16orf87
chr16-47016334-47017119,C16orf87
chr16-47018174-47018839,C16orf87
chr16-47141739-47142053,C16orf87
chr16-47142526-47144611,C16orf87
chr16-46742631-46743776,C16orf87
chr16-46972310-46974143,C16orf87
chr16-47037237-47038492,C16orf87
chr16-46620265-46622190,DNAJA2
chr16-46658627-46659353,DNAJA2
chr16-46688179-46690279,DNAJA2
chr16-46789283-46790384,DNAJA2
chr16-46829932-46831702,DNAJA2
chr16-46883479-46885181,DNAJA2
chr16-46961197-46962052,DNAJA2
chr16-47016334-47017119,DNAJA2
chr16-47018174-47018839,DNAJA2
chr16-47141739-47142053,DNAJA2
chr16-47142526-47144611,DNAJA2
chr16-47460444-47462162,DNAJA2
chr16-46742631-46743776,DNAJA2
chr16-46972310-46974143,DNAJA2
chr16-47037237-47038492,DNAJA2
chr16-46620265-46622190,NETO2
chr16-46658627-46659353,NETO2
chr16-46688179-46690279,NETO2
chr16-46789283-46790384,NETO2
chr16-46829932-46831702,NETO2
chr16-46883479-46885181,NETO2
chr16-46961197-46962052,NETO2
chr16-47016334-47017119,NETO2
chr16-47018174-47018839,NETO2
chr16-47141739-47142053,NETO2
chr16-47142526-47144611,NETO2
chr16-47460444-47462162,NETO2
chr16-47492389-47494165,NETO2
chr16-46742631-46743776,NETO2
chr16-46972310-46974143,NETO2
chr16-47037237-47038492,NETO2
chr16-46658627-46659353,ITFG1
chr16-46688179-46690279,ITFG1
chr16-46789283-46790384,ITFG1
chr16-46829932-46831702,ITFG1
chr16-46883479-46885181,ITFG1
chr16-46961197-46962052,ITFG1
chr16-47016334-47017119,ITFG1
chr16-47018174-47018839,ITFG1
chr16-47141739-47142053,ITFG1
chr16-47142526-47144611,ITFG1
chr16-47460444-47462162,ITFG1
chr16-47492389-47494165,ITFG1
chr16-46742631-46743776,ITFG1
chr16-46972310-46974143,ITFG1
chr16-47037237-47038492,ITFG1
chr16-46961197-46962052,PHKB
chr16-47016334-47017119,PHKB
chr16-47018174-47018839,PHKB
chr16-47141739-47142053,PHKB
chr16-47142526-47144611,PHKB
chr16-47460444-47462162,PHKB
chr16-47492389-47494165,PHKB
chr16-48188112-48188916,PHKB
chr16-46972310-46974143,PHKB
chr16-47037237-47038492,PHKB
chr16-48188112-48188916,LONP2
chr16-48243659-48244883,LONP2
chr16-48317638-48319122,LONP2
chr16-48353350-48353970,LONP2
chr16-48378416-48379319,LONP2
chr16-48383975-48386072,LONP2
chr16-48458141-48458718,LONP2
chr16-48558246-48558876,LONP2
chr16-48608411-48608788,LONP2
chr16-48609371-48610402,LONP2
chr16-48611612-48612196,LONP2
chr16-48612627-48613510,LONP2
chr16-48621099-48621813,LONP2
chr16-48622823-48624079,LONP2
chr16-48629973-48630761,LONP2
chr16-48365398-48366838,LONP2
chr16-48188112-48188916,SIAH1
chr16-48243659-48244883,SIAH1
chr16-48317638-48319122,SIAH1
chr16-48353350-48353970,SIAH1
chr16-48378416-48379319,SIAH1
chr16-48383975-48386072,SIAH1
chr16-48458141-48458718,SIAH1
chr16-48558246-48558876,SIAH1
chr16-48608411-48608788,SIAH1
chr16-48609371-48610402,SIAH1
chr16-48611612-48612196,SIAH1
chr16-48612627-48613510,SIAH1
chr16-48621099-48621813,SIAH1
chr16-48622823-48624079,SIAH1
chr16-48629973-48630761,SIAH1
chr16-48365398-48366838,SIAH1
chr16-48188112-48188916,N4BP1
chr16-48243659-48244883,N4BP1
chr16-48317638-48319122,N4BP1
chr16-48353350-48353970,N4BP1
chr16-48378416-48379319,N4BP1
chr16-48383975-48386072,N4BP1
chr16-48458141-48458718,N4BP1
chr16-48558246-48558876,N4BP1
chr16-48608411-48608788,N4BP1
chr16-48609371-48610402,N4BP1
chr16-48611612-48612196,N4BP1
chr16-48612627-48613510,N4BP1
chr16-48621099-48621813,N4BP1
chr16-48622823-48624079,N4BP1
chr16-48629973-48630761,N4BP1
chr16-48365398-48366838,N4BP1
chr16-49854896-49855943,CNEP1R1
chr16-50024574-50026038,CNEP1R1
chr16-50038446-50039568,CNEP1R1
chr16-50065428-50066731,CNEP1R1
chr16-50093346-50094386,CNEP1R1
chr16-50152346-50154116,CNEP1R1
chr16-50155525-50155877,CNEP1R1
chr16-50160522-50161008,CNEP1R1
chr16-50209430-50210841,CNEP1R1
chr16-50245343-50246981,CNEP1R1
chr16-50266139-50266736,CNEP1R1
chr16-50267458-50267938,CNEP1R1
chr16-50273813-50274675,CNEP1R1
chr16-50279137-50279478,CNEP1R1
chr16-50281592-50282386,CNEP1R1
chr16-50313615-50314062,CNEP1R1
chr16-50326764-50327586,CNEP1R1
chr16-50338480-50339445,CNEP1R1
chr16-50367993-50369260,CNEP1R1
chr16-49854896-49855943,HEATR3
chr16-50024574-50026038,HEATR3
chr16-50038446-50039568,HEATR3
chr16-50065428-50066731,HEATR3
chr16-50093346-50094386,HEATR3
chr16-50152346-50154116,HEATR3
chr16-50155525-50155877,HEATR3
chr16-50160522-50161008,HEATR3
chr16-50209430-50210841,HEATR3
chr16-50245343-50246981,HEATR3
chr16-50266139-50266736,HEATR3
chr16-50267458-50267938,HEATR3
chr16-50273813-50274675,HEATR3
chr16-50279137-50279478,HEATR3
chr16-50281592-50282386,HEATR3
chr16-50313615-50314062,HEATR3
chr16-50326764-50327586,HEATR3
chr16-50338480-50339445,HEATR3
chr16-50367993-50369260,HEATR3
chr16-50547325-50548842,HEATR3
chr16-50588731-50589668,HEATR3
chr16-49854896-49855943,TENT4B
chr16-50024574-50026038,TENT4B
chr16-50038446-50039568,TENT4B
chr16-50065428-50066731,TENT4B
chr16-50093346-50094386,TENT4B
chr16-50152346-50154116,TENT4B
chr16-50155525-50155877,TENT4B
chr16-50160522-50161008,TENT4B
chr16-50209430-50210841,TENT4B
chr16-50245343-50246981,TENT4B
chr16-50266139-50266736,TENT4B
chr16-50267458-50267938,TENT4B
chr16-50273813-50274675,TENT4B
chr16-50279137-50279478,TENT4B
chr16-50281592-50282386,TENT4B
chr16-50313615-50314062,TENT4B
chr16-50326764-50327586,TENT4B
chr16-50338480-50339445,TENT4B
chr16-50367993-50369260,TENT4B
chr16-50547325-50548842,TENT4B
chr16-50588731-50589668,TENT4B
chr16-50626752-50627792,TENT4B
chr16-50664920-50665653,TENT4B
chr16-50666544-50667359,TENT4B
chr16-50680940-50681768,TENT4B
chr16-50683750-50684359,TENT4B
chr16-50684731-50685574,TENT4B
chr16-50685759-50685968,TENT4B
chr16-50688913-50689174,TENT4B
chr16-50693007-50693681,TENT4B
chr16-50695552-50695922,TENT4B
chr16-50696616-50697009,TENT4B
chr16-50697846-50698488,TENT4B
chr16-50708353-50709662,TENT4B
chr16-49854896-49855943,ADCY7
chr16-50024574-50026038,ADCY7
chr16-50038446-50039568,ADCY7
chr16-50065428-50066731,ADCY7
chr16-50093346-50094386,ADCY7
chr16-50152346-50154116,ADCY7
chr16-50155525-50155877,ADCY7
chr16-50160522-50161008,ADCY7
chr16-50209430-50210841,ADCY7
chr16-50245343-50246981,ADCY7
chr16-50266139-50266736,ADCY7
chr16-50267458-50267938,ADCY7
chr16-50273813-50274675,ADCY7
chr16-50279137-50279478,ADCY7
chr16-50281592-50282386,ADCY7
chr16-50313615-50314062,ADCY7
chr16-50326764-50327586,ADCY7
chr16-50338480-50339445,ADCY7
chr16-50367993-50369260,ADCY7
chr16-50547325-50548842,ADCY7
chr16-50588731-50589668,ADCY7
chr16-50626752-50627792,ADCY7
chr16-50664920-50665653,ADCY7
chr16-50666544-50667359,ADCY7
chr16-50680940-50681768,ADCY7
chr16-50683750-50684359,ADCY7
chr16-50684731-50685574,ADCY7
chr16-50685759-50685968,ADCY7
chr16-50688913-50689174,ADCY7
chr16-50693007-50693681,ADCY7
chr16-50695552-50695922,ADCY7
chr16-50696616-50697009,ADCY7
chr16-50697846-50698488,ADCY7
chr16-50747165-50747977,ADCY7
chr16-50708353-50709662,ADCY7
chr16-50741245-50742870,ADCY7
chr16-50805880-50806834,ADCY7
chr16-49854896-49855943,BRD7
chr16-50024574-50026038,BRD7
chr16-50038446-50039568,BRD7
chr16-50065428-50066731,BRD7
chr16-50093346-50094386,BRD7
chr16-50152346-50154116,BRD7
chr16-50155525-50155877,BRD7
chr16-50160522-50161008,BRD7
chr16-50209430-50210841,BRD7
chr16-50245343-50246981,BRD7
chr16-50266139-50266736,BRD7
chr16-50267458-50267938,BRD7
chr16-50273813-50274675,BRD7
chr16-50279137-50279478,BRD7
chr16-50281592-50282386,BRD7
chr16-50313615-50314062,BRD7
chr16-50326764-50327586,BRD7
chr16-50338480-50339445,BRD7
chr16-50367993-50369260,BRD7
chr16-50547325-50548842,BRD7
chr16-50588731-50589668,BRD7
chr16-50626752-50627792,BRD7
chr16-50664920-50665653,BRD7
chr16-50666544-50667359,BRD7
chr16-50680940-50681768,BRD7
chr16-50683750-50684359,BRD7
chr16-50684731-50685574,BRD7
chr16-50685759-50685968,BRD7
chr16-50688913-50689174,BRD7
chr16-50693007-50693681,BRD7
chr16-50695552-50695922,BRD7
chr16-50696616-50697009,BRD7
chr16-50697846-50698488,BRD7
chr16-50747165-50747977,BRD7
chr16-50708353-50709662,BRD7
chr16-50741245-50742870,BRD7
chr16-50805880-50806834,BRD7
chr16-50209430-50210841,SNX20
chr16-50245343-50246981,SNX20
chr16-50266139-50266736,SNX20
chr16-50267458-50267938,SNX20
chr16-50273813-50274675,SNX20
chr16-50279137-50279478,SNX20
chr16-50281592-50282386,SNX20
chr16-50313615-50314062,SNX20
chr16-50326764-50327586,SNX20
chr16-50338480-50339445,SNX20
chr16-50367993-50369260,SNX20
chr16-50547325-50548842,SNX20
chr16-50588731-50589668,SNX20
chr16-50626752-50627792,SNX20
