peak,gene
chr14-102316509-102317421,TECPR2
chr14-102319089-102320393,TECPR2
chr14-102361862-102363848,TECPR2
chr14-102369917-102370923,TECPR2
chr14-102499838-102500814,TECPR2
chr14-102508922-102510562,TECPR2
chr14-102516452-102517750,TECPR2
chr14-102523857-102525620,TECPR2
chr14-102544385-102545460,TECPR2
chr14-102554694-102555836,TECPR2
chr14-102565102-102565865,TECPR2
chr14-102591392-102593597,TECPR2
chr14-102594548-102594808,TECPR2
chr14-102767982-102768753,TECPR2
chr14-102774522-102775160,TECPR2
chr14-102794935-102795691,TECPR2
chr14-102900978-102902290,TECPR2
chr14-102916647-102918142,TECPR2
chr14-102927827-102929406,TECPR2
chr14-102948625-102949704,TECPR2
chr14-102086243-102088797,TECPR2
chr14-102530574-102531295,TECPR2
chr14-102776524-102778367,TECPR2
chr14-102138950-102140747,RCOR1
chr14-102304447-102305612,RCOR1
chr14-102313764-102314517,RCOR1
chr14-102316509-102317421,RCOR1
chr14-102319089-102320393,RCOR1
chr14-102361862-102363848,RCOR1
chr14-102369917-102370923,RCOR1
chr14-102499838-102500814,RCOR1
chr14-102508922-102510562,RCOR1
chr14-102516452-102517750,RCOR1
chr14-102523857-102525620,RCOR1
chr14-102544385-102545460,RCOR1
chr14-102554694-102555836,RCOR1
chr14-102565102-102565865,RCOR1
chr14-102591392-102593597,RCOR1
chr14-102594548-102594808,RCOR1
chr14-102767982-102768753,RCOR1
chr14-102774522-102775160,RCOR1
chr14-102794935-102795691,RCOR1
chr14-102900978-102902290,RCOR1
chr14-102916647-102918142,RCOR1
chr14-102927827-102929406,RCOR1
chr14-102948625-102949704,RCOR1
chr14-103056312-103058239,RCOR1
chr14-103074816-103075959,RCOR1
chr14-103078141-103078617,RCOR1
chr14-103090985-103091924,RCOR1
chr14-103104769-103105252,RCOR1
chr14-103118809-103119407,RCOR1
chr14-103121205-103124043,RCOR1
chr14-102530574-102531295,RCOR1
chr14-102776524-102778367,RCOR1
chr14-102304447-102305612,TRAF3
chr14-102313764-102314517,TRAF3
chr14-102316509-102317421,TRAF3
chr14-102319089-102320393,TRAF3
chr14-102361862-102363848,TRAF3
