peak,gene
chr3-131361017-131362374,NUDT16
chr3-131380844-131382302,NUDT16
chr3-131386480-131387337,NUDT16
chr3-131502049-131503367,NUDT16
chr3-131025935-131027203,MRPL3
chr3-131361017-131362374,MRPL3
chr3-131380844-131382302,MRPL3
chr3-131386480-131387337,MRPL3
chr3-131502049-131503367,MRPL3
chr3-132282804-132284253,DNAJC13
chr3-132416636-132418430,DNAJC13
chr3-132659114-132661062,DNAJC13
chr3-132721470-132723175,DNAJC13
chr3-132316808-132317789,DNAJC13
chr3-132282804-132284253,ACAD11
chr3-132416636-132418430,ACAD11
chr3-132659114-132661062,ACAD11
chr3-132721470-132723175,ACAD11
chr3-132316808-132317789,ACAD11
chr3-132282804-132284253,UBA5
chr3-132416636-132418430,UBA5
chr3-132659114-132661062,UBA5
chr3-132721470-132723175,UBA5
chr3-132316808-132317789,UBA5
chr3-132282804-132284253,NPHP3
chr3-132416636-132418430,NPHP3
chr3-132659114-132661062,NPHP3
chr3-132721470-132723175,NPHP3
chr3-132316808-132317789,NPHP3
chr3-133447809-133448992,CDV3
chr3-133490442-133491604,CDV3
chr3-133505974-133507006,CDV3
chr3-133572256-133574728,CDV3
chr3-133661269-133662563,CDV3
chr3-133805170-133806483,CDV3
chr3-133926968-133927943,CDV3
chr3-133447809-133448992,TOPBP1
chr3-133490442-133491604,TOPBP1
chr3-133505974-133507006,TOPBP1
chr3-133572256-133574728,TOPBP1
chr3-133661269-133662563,TOPBP1
chr3-133805170-133806483,TOPBP1
chr3-133926968-133927943,TOPBP1
chr3-133447809-133448992,SRPRB
chr3-133490442-133491604,SRPRB
chr3-133505974-133507006,SRPRB
chr3-133572256-133574728,SRPRB
chr3-133661269-133662563,SRPRB
chr3-133805170-133806483,SRPRB
chr3-133926968-133927943,SRPRB
chr3-134249634-134251188,SRPRB
chr3-133572256-133574728,RYK
chr3-133661269-133662563,RYK
chr3-133805170-133806483,RYK
chr3-133926968-133927943,RYK
chr3-134484994-134487048,RYK
chr3-134249634-134251188,RYK
chr3-134484994-134487048,CEP63
chr3-134852605-134853375,CEP63
chr3-134249634-134251188,CEP63
chr3-135965209-135966462,MSL2
chr3-136194384-136197297,MSL2
chr3-136249674-136251423,MSL2
chr3-135965209-135966462,PCCB
chr3-136194384-136197297,PCCB
chr3-136249674-136251423,PCCB
chr3-136713742-136714577,PCCB
chr3-136751274-136753267,PCCB
chr3-136757999-136758761,PCCB
chr3-136818214-136820410,PCCB
chr3-135965209-135966462,STAG1
chr3-136194384-136197297,STAG1
chr3-136249674-136251423,STAG1
chr3-136713742-136714577,STAG1
chr3-136751274-136753267,STAG1
chr3-136757999-136758761,STAG1
chr3-136818214-136820410,STAG1
chr3-136861168-136862964,STAG1
chr3-137013713-137014586,STAG1
chr3-136713742-136714577,NCK1
chr3-136751274-136753267,NCK1
chr3-136757999-136758761,NCK1
chr3-136818214-136820410,NCK1
chr3-136861168-136862964,NCK1
chr3-137013713-137014586,NCK1
chr3-138136645-138137426,ARMC8
chr3-138173845-138175066,ARMC8
chr3-138186667-138188348,ARMC8
chr3-138221724-138223191,ARMC8
chr3-138347269-138348946,ARMC8
chr3-138367270-138368223,ARMC8
chr3-138370981-138371554,ARMC8
chr3-138593368-138595099,ARMC8
chr3-138780698-138781510,ARMC8
chr3-138786479-138787283,ARMC8
chr3-138328932-138330176,ARMC8
chr3-138608181-138609739,ARMC8
chr3-138136645-138137426,NME9
chr3-138173845-138175066,NME9
chr3-138186667-138188348,NME9
chr3-138221724-138223191,NME9
chr3-138347269-138348946,NME9
