gene,enhancer_1,enhancer_2
CCR7,chr17-40111346-40111943,chr17-40121322-40123804
CCR7,chr17-40111346-40111943,chr17-40362397-40363585
CCR7,chr17-40111346-40111943,chr17-40479883-40481194
CCR7,chr17-40111346-40111943,chr17-40533137-40533876
CCR7,chr17-40111346-40111943,chr17-40598441-40599496
CCR7,chr17-40111346-40111943,chr17-40818252-40819307
CCR7,chr17-40121322-40123804,chr17-40362397-40363585
CCR7,chr17-40121322-40123804,chr17-40479883-40481194
CCR7,chr17-40121322-40123804,chr17-40533137-40533876
CCR7,chr17-40121322-40123804,chr17-40598441-40599496
CCR7,chr17-40121322-40123804,chr17-40818252-40819307
CCR7,chr17-40362397-40363585,chr17-40479883-40481194
CCR7,chr17-40362397-40363585,chr17-40533137-40533876
CCR7,chr17-40362397-40363585,chr17-40598441-40599496
CCR7,chr17-40362397-40363585,chr17-40818252-40819307
CCR7,chr17-40479883-40481194,chr17-40533137-40533876
CCR7,chr17-40479883-40481194,chr17-40598441-40599496
CCR7,chr17-40479883-40481194,chr17-40818252-40819307
CCR7,chr17-40533137-40533876,chr17-40598441-40599496
CCR7,chr17-40533137-40533876,chr17-40818252-40819307
CCR7,chr17-40598441-40599496,chr17-40818252-40819307
IFI35,chr17-42608334-42610131,chr17-42928190-42929528
NMT1,chr17-45018748-45019625,chr17-45432409-45433078
SKAP1,chr17-47732773-47735067,chr17-47889611-47890260
SKAP1,chr17-47732773-47735067,chr17-47940877-47942049
SKAP1,chr17-47732773-47735067,chr17-48100635-48101903
SKAP1,chr17-47732773-47735067,chr17-48107119-48108044
SKAP1,chr17-47732773-47735067,chr17-48541145-48542518
SKAP1,chr17-47732773-47735067,chr17-48542973-48544741
SKAP1,chr17-47732773-47735067,chr17-48585019-48586155
SKAP1,chr17-47732773-47735067,chr17-48816543-48817555
SKAP1,chr17-47732773-47735067,chr17-48830478-48831684
SKAP1,chr17-47732773-47735067,chr17-48577576-48578963
SKAP1,chr17-47889611-47890260,chr17-47940877-47942049
SKAP1,chr17-47889611-47890260,chr17-48100635-48101903
SKAP1,chr17-47889611-47890260,chr17-48107119-48108044
SKAP1,chr17-47889611-47890260,chr17-48541145-48542518
SKAP1,chr17-47889611-47890260,chr17-48542973-48544741
SKAP1,chr17-47889611-47890260,chr17-48585019-48586155
SKAP1,chr17-47889611-47890260,chr17-48816543-48817555
SKAP1,chr17-47889611-47890260,chr17-48830478-48831684
SKAP1,chr17-47889611-47890260,chr17-48577576-48578963
SKAP1,chr17-47940877-47942049,chr17-48100635-48101903
SKAP1,chr17-47940877-47942049,chr17-48107119-48108044
SKAP1,chr17-47940877-47942049,chr17-48541145-48542518
SKAP1,chr17-47940877-47942049,chr17-48542973-48544741
SKAP1,chr17-47940877-47942049,chr17-48585019-48586155
SKAP1,chr17-47940877-47942049,chr17-48816543-48817555
SKAP1,chr17-47940877-47942049,chr17-48830478-48831684
SKAP1,chr17-47940877-47942049,chr17-48577576-48578963
SKAP1,chr17-48100635-48101903,chr17-48107119-48108044
SKAP1,chr17-48100635-48101903,chr17-48541145-48542518
SKAP1,chr17-48100635-48101903,chr17-48542973-48544741
SKAP1,chr17-48100635-48101903,chr17-48585019-48586155
SKAP1,chr17-48100635-48101903,chr17-48816543-48817555
SKAP1,chr17-48100635-48101903,chr17-48830478-48831684
SKAP1,chr17-48100635-48101903,chr17-48577576-48578963
SKAP1,chr17-48107119-48108044,chr17-48541145-48542518
SKAP1,chr17-48107119-48108044,chr17-48542973-48544741
SKAP1,chr17-48107119-48108044,chr17-48585019-48586155
SKAP1,chr17-48107119-48108044,chr17-48816543-48817555
SKAP1,chr17-48107119-48108044,chr17-48830478-48831684
SKAP1,chr17-48107119-48108044,chr17-48577576-48578963
SKAP1,chr17-48541145-48542518,chr17-48542973-48544741
SKAP1,chr17-48541145-48542518,chr17-48585019-48586155
SKAP1,chr17-48541145-48542518,chr17-48816543-48817555
SKAP1,chr17-48541145-48542518,chr17-48830478-48831684
SKAP1,chr17-48541145-48542518,chr17-48577576-48578963
SKAP1,chr17-48542973-48544741,chr17-48585019-48586155
SKAP1,chr17-48542973-48544741,chr17-48816543-48817555
SKAP1,chr17-48542973-48544741,chr17-48830478-48831684
SKAP1,chr17-48542973-48544741,chr17-48577576-48578963
SKAP1,chr17-48585019-48586155,chr17-48816543-48817555
SKAP1,chr17-48585019-48586155,chr17-48830478-48831684
SKAP1,chr17-48585019-48586155,chr17-48577576-48578963
SKAP1,chr17-48816543-48817555,chr17-48830478-48831684
SKAP1,chr17-48816543-48817555,chr17-48577576-48578963
SKAP1,chr17-48830478-48831684,chr17-48577576-48578963
MSI2,chr17-56832837-56835170,chr17-58156709-58157775
MSI2,chr17-56832837-56835170,chr17-57605158-57606191
MSI2,chr17-58156709-58157775,chr17-57605158-57606191
TEX14,chr17-58332257-58332758,chr17-58630788-58632288
TEX14,chr17-58332257-58332758,chr17-58657881-58659686
TEX14,chr17-58630788-58632288,chr17-58657881-58659686
JPT1,chr17-74971729-74973141,chr17-75046089-75048038
UBALD2,chr17-76279176-76279795,chr17-76584648-76586355
