gene,enhancer_1,enhancer_2
HLA-DRB1,chr6-32529518-32530725,chr6-33029051-33030140
HLA-DRB1,chr6-32529518-32530725,chr6-33073311-33073903
HLA-DRB1,chr6-32529518-32530725,chr6-33075303-33076229
HLA-DRB1,chr6-32529518-32530725,chr6-32472659-32474242
HLA-DRB1,chr6-32529518-32530725,chr6-32636861-32637580
HLA-DRB1,chr6-32589000-32590112,chr6-32668092-32668702
HLA-DRB1,chr6-32589000-32590112,chr6-33027601-33028840
HLA-DRB1,chr6-32589000-32590112,chr6-33029051-33030140
HLA-DRB1,chr6-32589000-32590112,chr6-33073311-33073903
HLA-DRB1,chr6-32589000-32590112,chr6-33075303-33076229
HLA-DRB1,chr6-32589000-32590112,chr6-32472659-32474242
HLA-DRB1,chr6-32589000-32590112,chr6-32636861-32637580
HLA-DRB1,chr6-32668092-32668702,chr6-33027601-33028840
HLA-DRB1,chr6-32668092-32668702,chr6-33029051-33030140
HLA-DRB1,chr6-32668092-32668702,chr6-33073311-33073903
HLA-DRB1,chr6-32668092-32668702,chr6-33075303-33076229
HLA-DRB1,chr6-32668092-32668702,chr6-32472659-32474242
HLA-DRB1,chr6-32668092-32668702,chr6-32636861-32637580
HLA-DRB1,chr6-33027601-33028840,chr6-33029051-33030140
HLA-DRB1,chr6-33027601-33028840,chr6-33073311-33073903
HLA-DRB1,chr6-33027601-33028840,chr6-33075303-33076229
HLA-DRB1,chr6-33027601-33028840,chr6-32472659-32474242
HLA-DRB1,chr6-33027601-33028840,chr6-32636861-32637580
HLA-DRB1,chr6-33029051-33030140,chr6-33073311-33073903
HLA-DRB1,chr6-33029051-33030140,chr6-33075303-33076229
HLA-DRB1,chr6-33029051-33030140,chr6-32472659-32474242
HLA-DRB1,chr6-33029051-33030140,chr6-32636861-32637580
HLA-DRB1,chr6-33073311-33073903,chr6-33075303-33076229
HLA-DRB1,chr6-33073311-33073903,chr6-32472659-32474242
HLA-DRB1,chr6-33073311-33073903,chr6-32636861-32637580
HLA-DRB1,chr6-33075303-33076229,chr6-32472659-32474242
HLA-DRB1,chr6-33075303-33076229,chr6-32636861-32637580
HLA-DRB1,chr6-32472659-32474242,chr6-32636861-32637580
HLA-DQA1,chr6-32439184-32440116,chr6-32589000-32590112
HLA-DQA1,chr6-32439184-32440116,chr6-32622245-32623990
HLA-DQA1,chr6-32439184-32440116,chr6-32627719-32628215
HLA-DQA1,chr6-32439184-32440116,chr6-32668092-32668702
HLA-DQA1,chr6-32439184-32440116,chr6-32685221-32686056
HLA-DQA1,chr6-32439184-32440116,chr6-33008639-33009835
HLA-DQA1,chr6-32439184-32440116,chr6-33027601-33028840
HLA-DQA1,chr6-32439184-32440116,chr6-33029051-33030140
HLA-DQA1,chr6-32439184-32440116,chr6-33073311-33073903
HLA-DQA1,chr6-32439184-32440116,chr6-33075303-33076229
HLA-DQA1,chr6-32439184-32440116,chr6-32472659-32474242
HLA-DQA1,chr6-32439184-32440116,chr6-32636861-32637580
HLA-DQA1,chr6-32589000-32590112,chr6-32622245-32623990
HLA-DQA1,chr6-32589000-32590112,chr6-32627719-32628215
HLA-DQA1,chr6-32589000-32590112,chr6-32668092-32668702
HLA-DQA1,chr6-32589000-32590112,chr6-32685221-32686056
HLA-DQA1,chr6-32589000-32590112,chr6-33008639-33009835
HLA-DQA1,chr6-32589000-32590112,chr6-33027601-33028840
HLA-DQA1,chr6-32589000-32590112,chr6-33029051-33030140
HLA-DQA1,chr6-32589000-32590112,chr6-33073311-33073903
HLA-DQA1,chr6-32589000-32590112,chr6-33075303-33076229
HLA-DQA1,chr6-32589000-32590112,chr6-32472659-32474242
HLA-DQA1,chr6-32589000-32590112,chr6-32636861-32637580
HLA-DQA1,chr6-32622245-32623990,chr6-32627719-32628215
HLA-DQA1,chr6-32622245-32623990,chr6-32668092-32668702
HLA-DQA1,chr6-32622245-32623990,chr6-32685221-32686056
HLA-DQA1,chr6-32622245-32623990,chr6-33008639-33009835
HLA-DQA1,chr6-32622245-32623990,chr6-33027601-33028840
HLA-DQA1,chr6-32622245-32623990,chr6-33029051-33030140
HLA-DQA1,chr6-32622245-32623990,chr6-33073311-33073903
HLA-DQA1,chr6-32622245-32623990,chr6-33075303-33076229
HLA-DQA1,chr6-32622245-32623990,chr6-32472659-32474242
HLA-DQA1,chr6-32622245-32623990,chr6-32636861-32637580
HLA-DQA1,chr6-32627719-32628215,chr6-32668092-32668702
HLA-DQA1,chr6-32627719-32628215,chr6-32685221-32686056
HLA-DQA1,chr6-32627719-32628215,chr6-33008639-33009835
HLA-DQA1,chr6-32627719-32628215,chr6-33027601-33028840
HLA-DQA1,chr6-32627719-32628215,chr6-33029051-33030140
HLA-DQA1,chr6-32627719-32628215,chr6-33073311-33073903
HLA-DQA1,chr6-32627719-32628215,chr6-33075303-33076229
HLA-DQA1,chr6-32627719-32628215,chr6-32472659-32474242
HLA-DQA1,chr6-32627719-32628215,chr6-32636861-32637580
HLA-DQA1,chr6-32668092-32668702,chr6-32685221-32686056
HLA-DQA1,chr6-32668092-32668702,chr6-33008639-33009835
HLA-DQA1,chr6-32668092-32668702,chr6-33027601-33028840
HLA-DQA1,chr6-32668092-32668702,chr6-33029051-33030140
HLA-DQA1,chr6-32668092-32668702,chr6-33073311-33073903
HLA-DQA1,chr6-32668092-32668702,chr6-33075303-33076229
HLA-DQA1,chr6-32668092-32668702,chr6-32472659-32474242
HLA-DQA1,chr6-32668092-32668702,chr6-32636861-32637580
HLA-DQA1,chr6-32685221-32686056,chr6-33008639-33009835
HLA-DQA1,chr6-32685221-32686056,chr6-33027601-33028840
HLA-DQA1,chr6-32685221-32686056,chr6-33029051-33030140
