"gene" "peak" "beta" "se" "z" "p" "boot_basic_p"
"JARID2" "chr6-14799768-14800262" -0.0746278950946409 0.0297082464712062 -2.51202625395516 0.0120040157885668 0.0832
"JARID2" "chr6-14856974-14858007" -0.0102206817781062 0.0233315504854867 -0.438062690452739 0.661340839370464 0.8
"JARID2" "chr6-14865434-14866165" 0.0498686309527022 0.0237640509051661 2.0984903269106 0.0358618535116745 0.28
"JARID2" "chr6-14876788-14877609" -0.0183839984115121 0.0196084642475212 -0.937554220434986 0.348473547151452 0.5
"JARID2" "chr6-14910233-14911513" -0.0462326585204987 0.0197793197689132 -2.33742409044631 0.0194171437206601 0.1
"JARID2" "chr6-14921068-14922678" -0.0212449160128098 0.0187402210894144 -1.13365343511397 0.256939949262913 0.54
"JARID2" "chr6-14966904-14967850" -0.0568874686227249 0.0262408341597353 -2.16789863753701 0.0301663995545687 0.14
"JARID2" "chr6-15066472-15067363" 0.0118606888790654 0.0192195355797419 0.617116310113497 0.537158011410315 0.82
"JARID2" "chr6-15150909-15151690" -0.00128250585401642 0.0355626931588564 -0.0360632376262266 0.971231935372411 0.8
"JARID2" "chr6-15193376-15194835" 0.0184644057288777 0.0264126730168314 0.699073725597988 0.48450595759101 0.58
"JARID2" "chr6-15219290-15220104" -0.00475871287453121 0.021529115036079 -0.221036158084364 0.825064279111432 0.92
"JARID2" "chr6-15244677-15246099" -0.0176076340522955 0.0200464106172015 -0.878343479464933 0.379757346998509 0.5
"JARID2" "chr6-15247949-15249431" -0.0355335121804803 0.0195519806342864 -1.81738683385194 0.0691579023074422 0.18
"JARID2" "chr6-15254100-15254693" 0.0308938844582255 0.031011184983736 0.996217476837084 0.319144489586794 0.42
"JARID2" "chr6-15299095-15299892" 0.0963048409137585 0.0308168535856781 3.12507052824223 0.00177762433609959 0.0296
"JARID2" "chr6-15365171-15365600" 0.0222196915975292 0.0281492001270404 0.789354279952868 0.429904969890258 0.68
"JARID2" "chr6-15420775-15421457" 0.019213074790996 0.0339158928418768 0.566491788394647 0.571059513553271 0.92
"JARID2" "chr6-15427015-15428044" -0.0739041348081419 0.0258411398854359 -2.85994097535126 0.00423719863684027 0.064
"JARID2" "chr6-15690929-15691618" 0.0082214925284096 0.0258169645784718 0.318453104872961 0.750141261313636 0.7
"JARID2" "chr6-15900905-15902051" 0.0481736870430935 0.0251974152850959 1.91185034250667 0.055895392493064 0.18
"JARID2" "chr6-15661934-15663247" -0.026266588865028 0.0198642286490043 -1.32230600690073 0.186066273323991 0.5
"DTNBP1" "chr6-15066472-15067363" 0.0772093511321369 0.0435358423621987 1.7734663427387 0.0761514642353275 0.1344
"DTNBP1" "chr6-15150909-15151690" -0.0101868859096259 0.0811391457005564 -0.125548350573231 0.900089449594076 0.9
"DTNBP1" "chr6-15193376-15194835" 0.0544772838417311 0.059412733520085 0.916929429333774 0.359179621373652 0.54
"DTNBP1" "chr6-15219290-15220104" 0.0614664659073859 0.0482939498045446 1.27275706700639 0.203104260327819 0.28
"DTNBP1" "chr6-15244677-15246099" -0.0396363150108676 0.0456045602446226 -0.869130516734699 0.384775746831372 0.5
"DTNBP1" "chr6-15247949-15249431" 0.0471542596689907 0.0451163869060863 1.04516923678189 0.295944758817928 0.26
"DTNBP1" "chr6-15254100-15254693" -0.0742280528415085 0.0735351840742065 -1.00942227555455 0.312772159846436 0.36
"DTNBP1" "chr6-15299095-15299892" -0.102143922104169 0.0759942959402548 -1.34409985434266 0.178916099211207 0.52
"DTNBP1" "chr6-15365171-15365600" 0.0908388485905704 0.0624230957753206 1.45521216886658 0.145610533047678 0.16
"DTNBP1" "chr6-15420775-15421457" 0.097582286726225 0.0747539485019636 1.30537969808594 0.191763587926676 0.22
"DTNBP1" "chr6-15427015-15428044" -0.0350208435315339 0.058086618282583 -0.602907254148668 0.546570389899354 0.68
"DTNBP1" "chr6-15690929-15691618" 0.0294368818188052 0.0583125158749413 0.50481241251769 0.613690596864562 0.72
"DTNBP1" "chr6-15900905-15902051" 0.139208567014874 0.0556687358543642 2.50065974875124 0.0123962211678107 0.0344
"DTNBP1" "chr6-16128462-16130098" 0.112424335477404 0.0455466758805705 2.4683323931739 0.013574420515019 0.12
"DTNBP1" "chr6-16130626-16131261" 0.0453434878221743 0.0546868300474501 0.829148220564826 0.40702054056584 0.38
"DTNBP1" "chr6-15661934-15663247" 0.0521380710237833 0.0447672642127971 1.16464724705869 0.244161810616757 0.52
"MYLIP" "chr6-15690929-15691618" 0.17110884581207 0.0637956660528532 2.68213902916713 0.0073153051069459 0.0288
"MYLIP" "chr6-15900905-15902051" -0.0191453160953895 0.0670374540936548 -0.285591336279605 0.775191139861144 0.82
"MYLIP" "chr6-16128462-16130098" 0.110970032439603 0.0520659300596081 2.13133679380274 0.0330614059343214 0.1
"MYLIP" "chr6-16130626-16131261" 0.150025425557929 0.0607848475263935 2.4681385520098 0.0135817738545147 0.0408
"MYLIP" "chr6-16237966-16239926" 0.126229265060618 0.054808419171559 2.30309990633921 0.0212732225847951 0.0592
"MYLIP" "chr6-16322374-16323170" 0.15719629573738 0.0751298751339819 2.09232739249261 0.0364092389410782 0.0872
"MYLIP" "chr6-16331205-16332417" 0.0725286552964773 0.0950121747495721 0.763361700620414 0.445247714314614 0.58
"MYLIP" "chr6-16585681-16586586" -0.115322547713679 0.0784268561875651 -1.47044715700289 0.14144068751242 0.26
"MYLIP" "chr6-15661934-15663247" 0.180469663275824 0.0504903402063122 3.57434040924251 0.000351111890038918 8e-04
"ATXN1" "chr6-15900905-15902051" 0.00819680273762875 0.0313965242178189 0.261073572372597 0.794035771301101 0.82
"ATXN1" "chr6-16128462-16130098" 0.0248577502828111 0.0244351887476142 1.01729315617577 0.309013991342357 0.48
"ATXN1" "chr6-16130626-16131261" 0.0266547790611711 0.0297734871920337 0.895252171479025 0.370652301399224 0.54
"ATXN1" "chr6-16237966-16239926" -0.0400257752083649 0.0270327316439584 -1.48064116255563 0.138702220395407 0.36
"ATXN1" "chr6-16322374-16323170" 0.0463931485475816 0.036605095325623 1.26739592220395 0.205013757153554 0.38
"ATXN1" "chr6-16331205-16332417" -0.0477735504933779 0.0470399620360384 -1.01559500530161 0.30982228431578 0.4
"ATXN1" "chr6-16585681-16586586" 0.0130003612890534 0.0352883633651661 0.368403633643332 0.712572288445938 0.66
"ATXN1" "chr6-16681258-16681878" 0.131614971072641 0.030624477917301 4.29770497404254 1.72575649901445e-05 0.0016
"ATXN1" "chr6-16683734-16684631" 0.0140984313791536 0.0323695035074313 0.435546729220512 0.663165628047423 0.84
"ATXN1" "chr6-16706495-16707655" -0.0701762645210906 0.0339577057474802 -2.06657849746807 0.0387738886851307 0.12
"ATXN1" "chr6-16726109-16727002" 0.0206600368638451 0.0299290701944528 0.690299990264125 0.490005554003357 0.64
"ATXN1" "chr6-16752292-16752819" 0.0964968872509351 0.0277225052192611 3.48081410708477 0.000499892301509953 0.0104
"ATXN1" "chr6-16768955-16769499" 0.0228663717937534 0.0396135523657795 0.577236082808536 0.563779985069298 0.54
