"gene" "peak" "beta" "se" "z" "p" "boot_basic_p"
"CD300E" "chr17-74212172-74214376" -0.0676744314341623 0.0423859906384819 -1.59662262022776 0.110349853571113 0.22
"CD300E" "chr17-74239023-74239605" 0.0851998863893944 0.0544211732755457 1.56556504134907 0.11745047948357 0.14
"CD300E" "chr17-74273858-74275131" 0.126806129544771 0.0779029693331163 1.62774449588107 0.103579073969333 0.18
"CD300E" "chr17-74279832-74280572" 0.111043099570843 0.0733762491041228 1.51333845660698 0.130193709005706 0.28
"CD300E" "chr17-74282489-74283474" -0.206591907436035 0.0950066554537359 -2.17449931743609 0.0296676566071346 0.0832
"CD300E" "chr17-74368104-74369591" -0.00747051308062099 0.0678214491565563 -0.110149711831966 0.91229064364163 0.88
"CD300E" "chr17-74379250-74380476" 0.0247006702059054 0.0656800042396576 0.376075953280635 0.70686043080367 0.92
"CD300E" "chr17-74430271-74432496" -0.111009860379448 0.0755502686858715 -1.46935096738058 0.141737619330752 0.18
"CD300E" "chr17-74442606-74443547" 0.0232526601360953 0.051483799885696 0.451650037249013 0.651521116881982 0.68
"CD300E" "chr17-74453618-74454576" -0.0385516501011326 0.054813954999296 -0.703318162348032 0.481857494475558 0.46
"CD300E" "chr17-74462612-74463854" -0.0369014187460068 0.0487172391947803 -0.757461205846831 0.448773599262225 0.34
"CD300E" "chr17-74466174-74467951" 0.123900828199139 0.0476436729254395 2.60057255436707 0.00930683364298507 0.02
"CD300E" "chr17-74478335-74479122" 0.0416486420681193 0.0538418695457569 0.773536328130743 0.439205037714262 0.46
"CD300E" "chr17-74512356-74513159" 0.0963178543665101 0.0438325535822803 2.19740458848027 0.0279915638729137 0.0776
"CD300E" "chr17-74519992-74521123" 0.10292828027568 0.0445860530626912 2.30853087917325 0.0209696273967194 0.0472
"CD300E" "chr17-74521349-74522177" 0.168759793998868 0.0478314135391088 3.52822092244637 0.000418362834705384 0.004
"CD300E" "chr17-74528331-74528926" -0.00418858076124173 0.0434621002472327 -0.0963731788711344 0.923224193112335 0.78
"CD300E" "chr17-74532077-74532566" 0.0440823215685455 0.0429600839050034 1.02612279962078 0.304833704663225 0.32
"CD300E" "chr17-74532883-74533316" -0.0696572258193444 0.0664384340102268 -1.0484477374741 0.294432369246306 0.42
"CD300E" "chr17-74545339-74546297" -0.0394176587450306 0.0463469967075066 -0.850490032693883 0.395052699623305 0.54
