"X1","X2","X3","X4","X5","X6"
"ADD3","chr10-110006911-110008988_chr10-110076473-110078137","-8.61895302155006","0.175754735684202","5.13712001135941e-10","4e-04"
"ADD3","chr10-110006911-110008988_chr10-110414223-110415076","-8.3176920190023","0.257056857089502","1.0072425401357e-14","4e-04"
"ADD3","chr10-110076473-110078137_chr10-110414223-110415076","-8.53462009269863","0.220569978565983","3.29727671654705e-11","4e-04"
"ACSL1","chr4-184792585-184793599_chr4-184825114-184827130","-6.86203768493453","0.1460032169169","4.09886241338447e-20","4e-04"
"ACSL1","chr4-184792585-184793599_chr4-184896489-184897431","-6.85902746008357","0.129874644478345","1.53561871719619e-10","8e-04"
"ACSL1","chr4-184825114-184827130_chr4-184896489-184897431","-6.85965054094882","0.148742192707407","1.70571201224531e-28","4e-04"
"LDLRAP1","chr1-25561510-25562892_chr1-25810353-25811139","-10.6664247497846","1.03723470405717","4.14689701268624e-12","4e-04"
"LDLRAP1","chr1-25561510-25562892_chr1-25970802-25971930","-10.8183935261979","0.782307337268188","5.32184570858237e-07","4e-04"
"LDLRAP1","chr1-25810353-25811139_chr1-25970802-25971930","-10.5833566160495","0.915113268258061","8.48139001011386e-10","4e-04"
"PTPN4","chr2-119677929-119679384_chr2-120012432-120013572","-9.67126990538455","0.287548075767034","0.0023631537003766","8e-04"
"PTPN4","chr2-119677929-119679384_chr2-120176493-120177620","-9.62202882537051","0.371853710067272","1.01120568040647e-06","4e-04"
"PTPN4","chr2-120012432-120013572_chr2-120176493-120177620","-9.69805931613316","0.372531560745093","2.68669127231903e-06","4e-04"
"SGK1","chr6-134177651-134178726_chr6-134412829-134413730","-9.39847238826549","0.239963291170376","2.40752451782445e-09","4e-04"
"SGK1","chr6-134177651-134178726_chr6-134435959-134437758","-9.39494125335062","0.244461418175633","1.49802526135662e-09","4e-04"
"SGK1","chr6-134412829-134413730_chr6-134435959-134437758","-9.32252253648817","0.246338877418285","4.88241897318984e-11","4e-04"
"S100A10","chr1-151941132-151941739_chr1-152000707-152002043","-8.57351423155502","0.230358637631604","1.35565956641462e-12","4e-04"
"S100A10","chr1-151941132-151941739_chr1-151992395-151994546","-8.6676325965537","0.25981887217498","1.12460943236117e-30","4e-04"
