"gene","enhancer_1","enhancer_2","intercept","beta_estimate","beta_pvalue","bootstrap_pvalue"
"HLA-DRA","chr6-32437055-32437823","chr6-32603912-32604907","-7.57295664370716","0.0926223951863728","7.64540657517312e-07","0.0136"
"HLA-DRA","chr6-32437055-32437823","chr6-32636861-32637580","-7.5481065476473","0.0506151566613575","0.00596752865019022","0.2"
"HLA-DRA","chr6-32439184-32440116","chr6-32529518-32530725","-7.60520569210245","0.135514517724209","5.65378425666177e-13","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32589000-32590112","-7.5814630278213","0.134424092536819","5.04028629892745e-11","8e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32622245-32623990","-7.57731116791529","0.0690595086299721","0.00281565314594174","0.1192"
"HLA-DRA","chr6-32439184-32440116","chr6-32627719-32628215","-7.54290241040737","0.149829039996463","1.61624029359892e-18","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32666204-32666875","-7.53711475332756","0.154090531094551","3.50743950523393e-15","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32668092-32668702","-7.60139561920624","0.143034189950009","7.25123860715652e-14","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32940696-32941744","-7.55147645235387","0.161940803132333","7.2127130868089e-18","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32472659-32474242","-7.58060114120177","0.187286701029302","3.38482411334486e-17","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32603912-32604907","-7.57975072710501","0.129480700286125","1.04155455968555e-11","4e-04"
"HLA-DRA","chr6-32439184-32440116","chr6-32636861-32637580","-7.59170555160948","0.174315227900709","3.84704409286783e-21","4e-04"
"HLA-DRA","chr6-32529518-32530725","chr6-32589000-32590112","-7.56895895771361","0.171257485042896","4.98392408602339e-14","4e-04"
"HLA-DRA","chr6-32529518-32530725","chr6-32622245-32623990","-7.58128991571334","0.136374117423462","1.15348261045881e-07","0.006"
"HLA-DRA","chr6-32529518-32530725","chr6-32627719-32628215","-7.51947053636979","0.143941652357301","1.99912627669414e-14","4e-04"
"HLA-DRA","chr6-32529518-32530725","chr6-32666204-32666875","-7.512647438098","0.144750605887651","3.8070963924215e-11","8e-04"
"HLA-DRA","chr6-32529518-32530725","chr6-32668092-32668702","-7.5881851449454","0.179801263899722","1.68320306839625e-17","4e-04"
"HLA-DRA","chr6-32529518-32530725","chr6-32940696-32941744","-7.52383675496259","0.14069709426997","2.0723145078603e-11","4e-04"
"HLA-DRA","chr6-32529518-32530725","chr6-32472659-32474242","-7.53327204076399","0.0832553171785141","0.00114457877358591","0.18"
"HLA-DRA","chr6-32529518-32530725","chr6-32603912-32604907","-7.56888787819429","0.146637523352896","3.31689514714755e-12","0.002"
"HLA-DRA","chr6-32529518-32530725","chr6-32636861-32637580","-7.55399351742679","0.121065046920123","6.22116183989687e-09","0.0028"
"HLA-DRA","chr6-32589000-32590112","chr6-32622245-32623990","-7.60332268024591","0.146242076447051","3.30446839066035e-10","4e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32627719-32628215","-7.54217980148147","0.160414430645669","2.05674395027532e-20","4e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32666204-32666875","-7.53982660426412","0.163314715068868","3.62783857718728e-16","4e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32668092-32668702","-7.58989311927725","0.126727390190686","1.18310479610131e-10","4e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32940696-32941744","-7.55020525233503","0.15483320394852","6.7793727432166e-16","4e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32472659-32474242","-7.57194808575177","0.154607140950192","1.10002908030016e-11","8e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32603912-32604907","-7.59931331794358","0.188309113920066","1.1135407509027e-22","4e-04"
"HLA-DRA","chr6-32589000-32590112","chr6-32636861-32637580","-7.57982549968968","0.147147900227413","9.53820578282519e-15","4e-04"
"HLA-DRA","chr6-32622245-32623990","chr6-32627719-32628215","-7.55828107894166","0.160544591694552","1.45735222781344e-21","4e-04"
"HLA-DRA","chr6-32622245-32623990","chr6-32666204-32666875","-7.54262003071597","0.143408836728278","1.45535758829895e-13","4e-04"
"HLA-DRA","chr6-32622245-32623990","chr6-32668092-32668702","-7.593845942285","0.111317921451802","3.55465396878145e-09","0.0012"
"HLA-DRA","chr6-32622245-32623990","chr6-32940696-32941744","-7.57127689281446","0.185073959235757","1.51436759975914e-23","4e-04"
