"gene","enhancer_1","enhancer_2","intercept","beta_estimate","beta_pvalue","bootstrap_pvalue"
"FTL","chr19-48618630-48619718","chr19-49127544-49128612","-7.25605496712618","-0.0845087231246315","0.00210774057020206","0.14"
"FTL","chr19-48618630-48619718","chr19-49142677-49143200","-7.28225636334395","-0.0986347996835768","3.40979752995743e-06","0.0124"
"FTL","chr19-48618630-48619718","chr19-49442557-49444013","-7.26267803084764","-0.0984219418973303","4.72217469459005e-05","0.0196"
"FTL","chr19-48618630-48619718","chr19-49452580-49454103","-7.08681879524114","-0.139307643876485","3.60528418339134e-05","0.0216"
"FTL","chr19-48618630-48619718","chr19-48954004-48955395","-7.23883502195513","-0.115035832342298","1.9685091704207e-06","0.0084"
"FTL","chr19-48618630-48619718","chr19-49118475-49120354","-7.1873662747748","-0.0547298177768168","0.0526480941286074","0.28"
"FTL","chr19-48623943-48624531","chr19-48636788-48638536","-7.27348864788392","-0.125421750110545","0.00292714292361183","0.12"
"FTL","chr19-48623943-48624531","chr19-48644602-48646895","-7.22320151096483","-0.0747090890235841","0.00290716269033445","0.16"
"FTL","chr19-48623943-48624531","chr19-48738414-48739696","-7.27789816535838","-0.0925462987614285","5.62715888243974e-05","0.0244"
"FTL","chr19-48623943-48624531","chr19-48872065-48873367","-7.24114891458648","-0.109525732459287","0.00172170814159113","0.0788"
"FTL","chr19-48623943-48624531","chr19-48899720-48901330","-7.20565056964358","-0.0695339660908459","0.00775018665841009","0.16"
"FTL","chr19-48623943-48624531","chr19-48933085-48933985","-7.29477443607718","-0.0811442874448621","0.000168316344053594","0.0348"
"FTL","chr19-48623943-48624531","chr19-48964844-48966066","-7.16506701104203","-0.121743419246383","0.000349274460228109","0.0788"
"FTL","chr19-48623943-48624531","chr19-49084633-49085925","-7.14692053774181","-0.0269152657451578","0.384774090696516","0.72"
"FTL","chr19-48623943-48624531","chr19-49113772-49115131","-7.28801570620808","-0.0509881779058846","0.0311988702073865","0.18"
"FTL","chr19-48623943-48624531","chr19-49127544-49128612","-7.27462208462166","-0.0657489782368437","0.0225252158123744","0.24"
"FTL","chr19-48623943-48624531","chr19-49142677-49143200","-7.30725938166128","-0.0757581352249684","0.000465133544329182","0.0508"
"FTL","chr19-48623943-48624531","chr19-49442557-49444013","-7.27569817818152","-0.0970298131844917","0.000115186455746999","0.0356"
"FTL","chr19-48623943-48624531","chr19-49452580-49454103","-7.13492698107335","-0.0287324975984012","0.433879825387227","0.86"
"FTL","chr19-48623943-48624531","chr19-48954004-48955395","-7.26157582260876","-0.105879204511582","2.88869064409145e-05","0.0224"
"FTL","chr19-48623943-48624531","chr19-49118475-49120354","-7.20708577145139","-0.0207061902935389","0.485302674414078","0.68"
"FTL","chr19-48636788-48638536","chr19-48644602-48646895","-7.21416370212509","-0.0572278004006013","0.0257918129082445","0.14"
"FTL","chr19-48636788-48638536","chr19-48738414-48739696","-7.23179138808603","-0.122754924066422","2.36582420671848e-07","0.0108"
"FTL","chr19-48636788-48638536","chr19-48872065-48873367","-7.26531225086435","-0.0184658949956737","0.580132122375377","0.9"
"FTL","chr19-48636788-48638536","chr19-48899720-48901330","-7.16074818259739","-0.112101604140634","2.18202654949225e-05","0.0216"
"FTL","chr19-48636788-48638536","chr19-48933085-48933985","-7.25354454655466","-0.106077180035135","3.2125398198074e-06","0.0076"
"FTL","chr19-48636788-48638536","chr19-48964844-48966066","-7.11648399572746","-0.143735418681417","7.97479403465955e-06","0.0208"
"FTL","chr19-48636788-48638536","chr19-49084633-49085925","-7.09992482838283","-0.0924268711830341","0.00205623507753745","0.1136"
"FTL","chr19-48636788-48638536","chr19-49113772-49115131","-7.25181143566638","-0.0818648015811512","0.000903914887652349","0.0448"
"FTL","chr19-48636788-48638536","chr19-49127544-49128612","-7.24047430764186","-0.0912530932380746","0.00140217372518981","0.0848"
"FTL","chr19-48636788-48638536","chr19-49142677-49143200","-7.24779294902707","-0.128257407302056","1.79034487245203e-08","0.0032"
"FTL","chr19-48636788-48638536","chr19-49442557-49444013","-7.22241497956445","-0.148904615735338","3.49225797106891e-09","0.0016"
"FTL","chr19-48636788-48638536","chr19-49452580-49454103","-7.18199188651682","0.0630507993046868","0.0679831501587846","0.3"
"FTL","chr19-48636788-48638536","chr19-48954004-48955395","-7.21566970180209","-0.125820847406715","6.99332157281784e-07","0.0108"
"FTL","chr19-48636788-48638536","chr19-49118475-49120354","-7.16827297215225","-0.0778601550643478","0.00761487860693067","0.1364"
"FTL","chr19-48644602-48646895","chr19-48738414-48739696","-7.28671125365686","-0.0927898494505234","0.000183732009703709","0.0388"
"FTL","chr19-48644602-48646895","chr19-48872065-48873367","-7.25591997687138","-0.0839781363413273","0.0287955788538957","0.18"
"FTL","chr19-48644602-48646895","chr19-48899720-48901330","-7.18383657028496","-0.176999075683219","8.42895986255352e-10","4e-04"
"FTL","chr19-48644602-48646895","chr19-48933085-48933985","-7.28836229399951","-0.123440864947415","1.04916372851756e-07","0.0024"
"FTL","chr19-48644602-48646895","chr19-48964844-48966066","-7.1563301193066","-0.16515483710625","1.09655933510297e-05","0.0264"
"FTL","chr19-48644602-48646895","chr19-49084633-49085925","-7.12265581582131","-0.117746967280497","0.000776258120453478","0.14"
"FTL","chr19-48644602-48646895","chr19-49113772-49115131","-7.27116940677781","-0.124508979667482","1.28415009703641e-06","0.0044"
"FTL","chr19-48644602-48646895","chr19-49127544-49128612","-7.2711654050059","-0.0874474453158165","0.00604594443894403","0.28"
"FTL","chr19-48644602-48646895","chr19-49142677-49143200","-7.30313743432607","-0.109798674990097","2.22512186868198e-06","0.0108"
"FTL","chr19-48644602-48646895","chr19-49442557-49444013","-7.2669497833384","-0.161288616331487","9.64466981721612e-09","0.0028"
"FTL","chr19-48644602-48646895","chr19-49452580-49454103","-7.12058757138638","-0.136897054714048","0.00147210867742718","0.14"
"FTL","chr19-48644602-48646895","chr19-48954004-48955395","-7.25736016329481","-0.130033752867118","2.11167399609159e-06","0.0116"
"FTL","chr19-48644602-48646895","chr19-49118475-49120354","-7.18332782668968","-0.136339317374381","4.54596062453049e-05","0.0144"
"FTL","chr19-48738414-48739696","chr19-48872065-48873367","-7.25140278601947","-0.15646764314506","0.00123306864608105","0.0372"
"FTL","chr19-48738414-48739696","chr19-48899720-48901330","-7.21124403265157","-0.150790159019119","2.04057710737997e-05","0.012"
"FTL","chr19-48738414-48739696","chr19-48933085-48933985","-7.29251653600485","-0.158259490308951","1.94660826610841e-08","4e-04"
"FTL","chr19-48738414-48739696","chr19-48964844-48966066","-7.17325815328737","-0.198135435302213","2.86030518051037e-05","0.0096"
