"gene","enhancer_1","enhancer_2","intercept","beta_estimate","beta_pvalue","bootstrap_pvalue"
"ADD3","chr10-110006911-110008988","chr10-110076473-110078137","-8.67594263246481","0.294786250935909","2.26915085382886e-07","4e-04"
"ADD3","chr10-110006911-110008988","chr10-110414223-110415076","-8.41145513194275","0.137587584105775","0.00366156359583629","0.0092"
"ADD3","chr10-110076473-110078137","chr10-110414223-110415076","-8.42213140190327","0.16135554368746","9.91622011369417e-05","0.0024"
"ACSL1","chr4-184792585-184793599","chr4-184825114-184827130","-6.88663889397302","0.13444698278536","0.0039519941955534","0.18"
"ACSL1","chr4-184792585-184793599","chr4-184896489-184897431","-6.8057389328311","0.255928878824947","7.55168070877934e-16","4e-04"
"ACSL1","chr4-184825114-184827130","chr4-184896489-184897431","-6.80349540977929","0.0723970571914435","0.00236522590491882","0.1"
"LDLRAP1","chr1-25561510-25562892","chr1-25810353-25811139","-10.6708358997592","1.12722143457728","2.4676662364534e-11","4e-04"
"LDLRAP1","chr1-25561510-25562892","chr1-25970802-25971930","-10.8728649195118","1.25997594043676","7.16299789560864e-14","4e-04"
"LDLRAP1","chr1-25810353-25811139","chr1-25970802-25971930","-10.682790083706","0.835901998354876","0.000161620485567459","4e-04"
"PTPN4","chr2-119677929-119679384","chr2-120012432-120013572","-9.66748206932479","0.44203685737769","2.20726411600554e-05","4e-04"
"PTPN4","chr2-119677929-119679384","chr2-120176493-120177620","-9.56108832427082","0.361707776458729","0.00136739355240202","0.0016"
"PTPN4","chr2-120012432-120013572","chr2-120176493-120177620","-9.57238259815697","0.546412003036142","4.39897027299391e-07","4e-04"
"SGK1","chr6-134177651-134178726","chr6-134412829-134413730","-9.36687091227484","0.256373752126239","0.00025899716362972","0.0036"
"SGK1","chr6-134177651-134178726","chr6-134435959-134437758","-9.35360487358834","0.288860783731926","3.85712557044956e-05","0.0016"
"SGK1","chr6-134412829-134413730","chr6-134435959-134437758","-9.31167996684368","0.208106823049933","0.00303904706178667","0.0268"
"S100A10","chr1-151941132-151941739","chr1-152000707-152002043","-8.5056571542126","0.299966584691255","1.44835450871333e-14","4e-04"
"S100A10","chr1-151941132-151941739","chr1-151992395-151994546","-8.73349848451252","0.242679863962119","2.30182738030316e-05","4e-04"
"S100A10","chr1-152000707-152002043","chr1-151992395-151994546","-8.73244027874855","0.245475801277002","0.000518529456271164","0.0124"
"RPL5","chr1-92484542-92487131","chr1-92858614-92859645","-8.03698806917562","0.196114465309656","1.47022928552363e-07","4e-04"
"RPL5","chr1-92484542-92487131","chr1-92960168-92962796","-8.16792458066602","0.11512478214319","0.0183743021889548","0.0804"
"RPL5","chr1-92858614-92859645","chr1-92960168-92962796","-8.15324388231521","0.179139014481747","0.0105714618023831","0.0216"
"GRN","chr17-44502647-44504254","chr17-44774653-44776223","-8.54880774189567","-0.0803695973394415","0.0265592143368491","0.064"
"GRN","chr17-44502647-44504254","chr17-44829152-44830728","-8.61830011652098","-0.0911273350316518","0.00468502386634415","0.014"
"GRN","chr17-44774653-44776223","chr17-44829152-44830728","-8.62988221723884","-0.134832650252777","0.000317150948620142","0.002"
"GBP1","chr1-89064169-89065719","chr1-89272246-89273541","-8.40580412653571","0.233561923825456","1.44136355142258e-09","4e-04"
"GBP1","chr1-89064169-89065719","chr1-89309979-89311237","-8.24674635324143","0.186739630500004","2.59845974230443e-08","8e-04"
"GBP1","chr1-89272246-89273541","chr1-89309979-89311237","-8.27144947909361","0.258089654375089","1.23409694575495e-15","4e-04"
"SH3BGRL3","chr1-26233480-26235299","chr1-26471382-26473341","-8.31793034453878","-0.185851868475803","0.000142376383183831","0.0028"
"SH3BGRL3","chr1-26233480-26235299","chr1-26545401-26546137","-8.33255773580302","-0.0663753682993079","0.0724445034176705","0.34"
"SH3BGRL3","chr1-26471382-26473341","chr1-26545401-26546137","-8.33624263421279","-0.0604504932850873","0.10611228966554","0.14"
"B2M","chr15-44719271-44720571","chr15-44662384-44664020","-5.86936620174895","0.16047071180387","9.25275759591043e-21","4e-04"
"B2M","chr15-44719271-44720571","chr15-45186818-45188800","-5.90300548933891","0.126955378313183","8.05655113392334e-31","4e-04"
"B2M","chr15-44662384-44664020","chr15-45186818-45188800","-5.90512417253149","0.047600827452468","3.099173320493e-07","0.0092"
